Amount,Date,Client,Registrant,Purpose,To Subcontractor,Source,Record ID
668617.98,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Washington DC",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110651
1013856.06,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Silicon Valley",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110652
438580.30,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Miami",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110653
630186.00,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Detroit",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110654
454842.39,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, New Jersey",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110655
316926.95,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Torrance",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110656
388610.19,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Des Plaines",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110657
202024.58,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Virginia",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110658
402378.00,04/30/13*,Korea Trade - Investment Promotion Agency (KOTRA),Korea Trade Promotion Center,"Korea Business Center, Silicon Valley",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf,110659
8822061.00,12/31/11*,Japan External Trade Organization (JETRO),JETRO New York,,,http://www.fara.gov/docs/1643-Supplemental-Statement-20120131-16.pdf,111400
9111450.00,06/30/12*,Japan External Trade Organization (JETRO),JETRO New York,,,http://www.fara.gov/docs/1643-Supplemental-Statement-20120731-17.pdf,111401
6224617.00,12/31/12*,Japan External Trade Organization (JETRO),JETRO New York,,,http://www.fara.gov/docs/1643-Supplemental-Statement-20130205-18.pdf,111038
216747.20,03/31/13*,His Holiness the Dalai Lama,The Office Of Tibet,,,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf,110943
655.95,12/31/12*,State of Israel,"Arnold & Porter, LLP",Williams Lea - Duplicating,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109892
33.75,12/31/12*,State of Israel,"Arnold & Porter, LLP",Williams Lea - Color Copies,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109893
73.75,12/31/12*,State of Israel,"Arnold & Porter, LLP",SBC Communications (AT&T Inc) - Telephone,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109894
3893.45,12/31/12*,State of Israel,"Arnold & Porter, LLP",Computer Research - Westlaw Research,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109895
128.47,12/31/12*,State of Israel,"Arnold & Porter, LLP",Computer Research - Pacer Service Center,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109896
163.54,12/31/12*,State of Israel,"Arnold & Porter, LLP",Cash Expenses - A&P Employees,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109897
103.89,12/31/12*,State of Israel,"Arnold & Porter, LLP",A&P Employees - Local Transportation,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109898
80.66,12/31/12*,State of Israel,"Arnold & Porter, LLP",Publications - Independence Legal Support,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109899
257.07,12/31/12*,State of Israel,"Arnold & Porter, LLP",Courier - Federal Express,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109900
28.94,2012-07-13,State of Israel,"Arnold & Porter, LLP",Courier - Washington Express,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109901
86363.83,12/31/12*,State of Israel,"Arnold & Porter, LLP",Professional services and other expenses - other disbursements for non-registrable activities,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109902
305.00,2012-07-25,State of Israel,"Arnold & Porter, LLP",Filing Fees - FARA Registration Unit,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109903
300.60,12/31/12*,Instituto Guatelmateco de Turismo INGUAT (Guatemalan Institute of Tourism,"Arnold & Porter, LLP",Cellular Telephone Fees - T-Mobile,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109904
16.18,2012-10-03,Instituto Guatelmateco de Turismo INGUAT (Guatemalan Institute of Tourism,"Arnold & Porter, LLP",Publication - Government of Guatemala,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109905
4362.38,12/31/12*,Instituto Guatelmateco de Turismo INGUAT (Guatemalan Institute of Tourism,"Arnold & Porter, LLP",A&P Attorney - Travel Expenses,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109906
611.20,12/31/12*,Instituto Guatelmateco de Turismo INGUAT (Guatemalan Institute of Tourism,"Arnold & Porter, LLP",A&P Employees - Cash Expenses,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109907
59.00,2012-09-23,Instituto Guatelmateco de Turismo INGUAT (Guatemalan Institute of Tourism,"Arnold & Porter, LLP",A&P Employees - Local Transportation,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109908
57.15,2012-09-22,Instituto Guatelmateco de Turismo INGUAT (Guatemalan Institute of Tourism,"Arnold & Porter, LLP",Courier - Federal Express,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf,109909
1209456.76,12/31/10*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,Rent & Maintenance,,http://www.fara.gov/docs/1787-Supplemental-Statement-20110301-12.pdf,103336
260720.98,12/31/10*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,Communications,,http://www.fara.gov/docs/1787-Supplemental-Statement-20110301-12.pdf,103337
2626152.06,12/31/10*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,Salaries,,http://www.fara.gov/docs/1787-Supplemental-Statement-20110301-12.pdf,103338
260463.26,12/31/10*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,Representations Expenses,,http://www.fara.gov/docs/1787-Supplemental-Statement-20110301-12.pdf,103339
193977.36,12/31/10*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,Travel Expenses,,http://www.fara.gov/docs/1787-Supplemental-Statement-20110301-12.pdf,103340
1209456.76,12/31/10*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,Rent & Maintenance,,http://www.fara.gov/docs/1787-Supplemental-Statement-20110301-12.pdf,107833
260720.98,12/31/10*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,Communications,,http://www.fara.gov/docs/1787-Supplemental-Statement-20110301-12.pdf,107834
2626152.06,12/31/10*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,Salaries,,http://www.fara.gov/docs/1787-Supplemental-Statement-20110301-12.pdf,107835
260463.26,12/31/10*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,Representations Expenses,,http://www.fara.gov/docs/1787-Supplemental-Statement-20110301-12.pdf,107836
193977.36,12/31/10*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,Travel Expenses,,http://www.fara.gov/docs/1787-Supplemental-Statement-20110301-12.pdf,107837
202237.12,12/31/12*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,travel,,http://www.fara.gov/docs/1787-Supplemental-Statement-20130301-16.pdf,111391
288647.05,12/31/12*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,Representation,,http://www.fara.gov/docs/1787-Supplemental-Statement-20130301-16.pdf,111392
347905.78,12/31/12*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,Communication Expenses,,http://www.fara.gov/docs/1787-Supplemental-Statement-20130301-16.pdf,111393
1274438.60,12/31/12*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,Rent,,http://www.fara.gov/docs/1787-Supplemental-Statement-20130301-16.pdf,111394
2549558.39,12/31/12*,Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,Salaries,,http://www.fara.gov/docs/1787-Supplemental-Statement-20130301-16.pdf,111395
216044.00,2012-10-01,Japan External Trade Organization (JETRO),JETRO San Francisco,Salaries for employees,,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf,109910
79444.00,2012-10-01,Japan External Trade Organization (JETRO),JETRO San Francisco,Outsourcing(HR),,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf,109911
209941.00,2012-10-01,Japan External Trade Organization (JETRO),JETRO San Francisco,Outsourcing(Business Development&PR),,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf,109912
126894.00,2012-10-01,Japan External Trade Organization (JETRO),JETRO San Francisco,Outsourcing(Other),,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf,109913
118279.00,2012-10-01,Japan External Trade Organization (JETRO),JETRO San Francisco,Office Rent,,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf,109914
101958.00,2012-10-01,Japan External Trade Organization (JETRO),JETRO San Francisco,Travel Expenses,,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf,109915
9951.00,2012-10-01,Japan External Trade Organization (JETRO),JETRO San Francisco,Advertising,,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf,109916
278569.00,2012-10-01,Japan External Trade Organization (JETRO),JETRO San Francisco,Office Expenses,,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf,109917
184807.00,2012-10-01,Japan External Trade Organization (JETRO),JETRO San Francisco,Outsourcing(Research),,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf,109918
161997.08,02/28/13*,Japan External Trade Organization (JETRO),JETRO Chicago,,,http://www.fara.gov/docs/1850-Supplemental-Statement-20130326-17.pdf,110672
248486.40,02/28/13*,Japan External Trade Organization (JETRO),JETRO Chicago,,,http://www.fara.gov/docs/1850-Supplemental-Statement-20130326-17.pdf,110673
180749.65,02/28/13*,Japan External Trade Organization (JETRO),JETRO Chicago,,,http://www.fara.gov/docs/1850-Supplemental-Statement-20130326-17.pdf,110674
146948.57,02/28/13*,Japan External Trade Organization (JETRO),JETRO Chicago,,,http://www.fara.gov/docs/1850-Supplemental-Statement-20130326-17.pdf,110675
183333.57,02/28/13*,Japan External Trade Organization (JETRO),JETRO Chicago,,,http://www.fara.gov/docs/1850-Supplemental-Statement-20130326-17.pdf,110676
208838.33,02/28/13*,Japan External Trade Organization (JETRO),JETRO Chicago,,,http://www.fara.gov/docs/1850-Supplemental-Statement-20130326-17.pdf,110677
1357118.61,12/31/12*,Tourism Authority of Thailand,Tourism Authority Of Thailand,,,http://www.fara.gov/docs/1897-Supplemental-Statement-20130205-16.pdf,111039
1320295.29,02/28/13*,Singapore Economic Development Board,Singapore Economic Development Board,,,http://www.fara.gov/docs/2003-Supplemental-Statement-20130410-17.pdf,110948
193341.55,03/31/13*,Alpine Tourist Commission,Alpine Tourist Commission,,,http://www.fara.gov/docs/2052-Supplemental-Statement-20130424-17.pdf,110779
46698.82,12/31/11*,Romanian Tourism Ministry,Romanian Tourist Office,,,http://www.fara.gov/docs/2093-Supplemental-Statement-20120131-15.pdf,111402
1507592.79,04/30/13*,Hong Kong Tourism Board,Head Office In The United States Hong Kong Tourism,,,http://www.fara.gov/docs/2110-Supplemental-Statement-20130520-17.pdf,110889
40.59,12/31/10*,The Embassy of India,Patton Boggs LLP,Subscriptions,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108318
305.00,12/31/10*,The Embassy of India,Patton Boggs LLP,Court Costs/Filing Fees,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108319
9.54,12/31/10*,The Embassy of India,Patton Boggs LLP,Courier,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108320
1.00,12/31/10*,"The City of Heidelberg, Germany",Patton Boggs LLP,Duplicating,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108321
305.00,12/31/10*,"The City of Heidelberg, Germany",Patton Boggs LLP,Court Costs/Filing Fees,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108322
168.45,12/31/10*,China Chamber of Commerce for Importers & Exporters of Machinery and Electronic Products,Patton Boggs LLP,Local Transportation,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108323
5.25,12/31/10*,China Chamber of Commerce for Importers & Exporters of Machinery and Electronic Products,Patton Boggs LLP,Client Subsistence - Meals,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108324
3333.33,12/31/10*,China Chamber of Commerce for Importers & Exporters of Machinery and Electronic Products,Patton Boggs LLP,Dues,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108325
73.33,12/31/10*,China Chamber of Commerce for Importers & Exporters of Machinery and Electronic Products,Patton Boggs LLP,Professional Fees - Outside,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108326
27.46,12/31/10*,China Chamber of Commerce for Importers & Exporters of Machinery and Electronic Products,Patton Boggs LLP,Courier,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108327
9.67,12/31/10*,Partido Accion Nacional (PAN),Patton Boggs LLP,Long Distance Telephone,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108328
209.24,12/31/10*,Partido Accion Nacional (PAN),Patton Boggs LLP,Local Transportation,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108329
53.21,12/31/10*,Partido Accion Nacional (PAN),Patton Boggs LLP,Client Travel - Meals,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108330
510.91,12/31/10*,Partido Accion Nacional (PAN),Patton Boggs LLP,Client Travel - Other,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108331
1170.13,12/31/10*,Partido Accion Nacional (PAN),Patton Boggs LLP,Client Subsistence - Meals,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108332
305.00,12/31/10*,Partido Accion Nacional (PAN),Patton Boggs LLP,Dues,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108333
40.62,12/31/10*,Partido Accion Nacional (PAN),Patton Boggs LLP,Cellular Telephone Charges,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108334
1407.08,12/31/10*,Partido Accion Nacional (PAN),Patton Boggs LLP,Travel,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108335
2.43,12/31/10*,The Embassy of the Republic of Azerbaijan,Patton Boggs LLP,Long Distance Telephone,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108336
10.75,12/31/10*,The Embassy of the Republic of Azerbaijan,Patton Boggs LLP,Duplicating,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108337
45.00,12/31/10*,The Embassy of the Republic of Azerbaijan,Patton Boggs LLP,Local Transportation,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108338
305.00,12/31/10*,The Embassy of the Republic of Azerbaijan,Patton Boggs LLP,Miscellaneous Firm/Client Expense,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108339
533.28,12/31/10*,The Embassy of the Republic of Azerbaijan,Patton Boggs LLP,Cellular Telephone Charges,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108340
99.77,12/31/10*,The Embassy of Sri Lanka,Patton Boggs LLP,Long Distance Telephone,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108341
4.00,12/31/10*,The Embassy of Sri Lanka,Patton Boggs LLP,Duplicating,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108342
444.75,12/31/10*,The Embassy of Sri Lanka,Patton Boggs LLP,Local Transportation,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108343
238.20,12/31/10*,The Embassy of Sri Lanka,Patton Boggs LLP,Client Subsistence - Meals,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108344
305.00,12/31/10*,The Embassy of Sri Lanka,Patton Boggs LLP,Court Costs/Filing Fees,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108345
10000.00,12/31/10*,The Embassy of Sri Lanka,Patton Boggs LLP,Professional Fees - Outside,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108346
209.89,12/31/10*,The Embassy of Sri Lanka,Patton Boggs LLP,Publications,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108347
25.44,12/31/10*,The Embassy of Sri Lanka,Patton Boggs LLP,Courier,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108348
589.49,12/31/10*,The Embassy of Sri Lanka,Patton Boggs LLP,Cellular Telephone Charges,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108349
156.06,12/31/10*,The Embassy of Sri Lanka,Patton Boggs LLP,Outside Long Distance,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108350
478.70,12/31/10*,The Embassy of Sri Lanka,Patton Boggs LLP,Travel,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108351
0.98,12/31/10*,Government of the Republic of Cyprus,Patton Boggs LLP,Long Distance Telephone,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108352
1823.25,12/31/10*,Government of the Republic of Cyprus,Patton Boggs LLP,Duplicating,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108353
270.75,12/31/10*,Government of the Republic of Cyprus,Patton Boggs LLP,Local Transportation,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108354
333.15,12/31/10*,Government of the Republic of Cyprus,Patton Boggs LLP,Client Travel - Meals,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108355
4907.53,12/31/10*,Government of the Republic of Cyprus,Patton Boggs LLP,Client Travel - Other,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108356
735.10,12/31/10*,Government of the Republic of Cyprus,Patton Boggs LLP,Client Subsistence - Meals,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108357
1402.64,12/31/10*,Government of the Republic of Cyprus,Patton Boggs LLP,Subscriptions,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108358
305.00,12/31/10*,Government of the Republic of Cyprus,Patton Boggs LLP,Court Costs/Filing Fees,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108359
312089.10,12/31/10*,Government of the Republic of Cyprus,Patton Boggs LLP,Professional Fees - Outside,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108360
6.23,12/31/10*,Government of the Republic of Cyprus,Patton Boggs LLP,Postage,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108361
209.87,12/31/10*,Government of the Republic of Cyprus,Patton Boggs LLP,Publications,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108362
54.06,12/31/10*,Government of the Republic of Cyprus,Patton Boggs LLP,Courier,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108363
589.49,12/31/10*,Government of the Republic of Cyprus,Patton Boggs LLP,Cellular Telephone Charges,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108364
750.00,12/31/10*,Government of the Republic of Cyprus,Patton Boggs LLP,Conferences/Seminars,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108365
25.92,12/31/10*,Government of the Republic of Cyprus,Patton Boggs LLP,PACER,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108366
5799.50,12/31/10*,Government of the Republic of Cyprus,Patton Boggs LLP,Travel,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108367
193.46,12/31/10*,Government of the Republic of Cyprus,Patton Boggs LLP,Secretary Overtime,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108368
122.42,12/31/10*,Government of the Republic of Cyprus,Patton Boggs LLP,Courier,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108369
142.36,12/31/10*,Government of the State of Qatar,Patton Boggs LLP,Long Distance Telephone,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108370
121.00,12/31/10*,Government of the State of Qatar,Patton Boggs LLP,Duplicating,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108371
392.65,12/31/10*,Government of the State of Qatar,Patton Boggs LLP,Client Travel - Meals,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108372
12938.49,12/31/10*,Government of the State of Qatar,Patton Boggs LLP,Client Travel - Other,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108373
305.00,12/31/10*,Government of the State of Qatar,Patton Boggs LLP,Court Costs/Filing Fees,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108374
156.25,12/31/10*,Government of the State of Qatar,Patton Boggs LLP,Translation Services,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108375
556.39,12/31/10*,Government of the State of Qatar,Patton Boggs LLP,Outside Duplicating,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108376
25025.00,12/31/10*,Government of the State of Qatar,Patton Boggs LLP,Professional Fees - Outside,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108377
5.00,12/31/10*,Government of the State of Qatar,Patton Boggs LLP,Facsimile Charges,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108378
95.71,12/31/10*,Government of the State of Qatar,Patton Boggs LLP,Postage,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108379
48.77,12/31/10*,Government of the State of Qatar,Patton Boggs LLP,Cellular Telephone Charges,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108380
64.13,12/31/10*,Government of the State of Qatar,Patton Boggs LLP,Outside Long Distance,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108381
866.48,12/31/10*,Government of the State of Qatar,Patton Boggs LLP,Secretary Overtime,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108382
7.98,12/31/10*,Government of the State of Qatar,Patton Boggs LLP,Courier,,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108383
1.30,12/31/10*,The Royal Embassy of Saudi Arabia (through Qorvis Communications),Patton Boggs LLP,Long Distance Telephone,Qorvis Communications LLC,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108384
17.75,12/31/10*,The Royal Embassy of Saudi Arabia (through Qorvis Communications),Patton Boggs LLP,Duplicating,Qorvis Communications LLC,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108385
20.00,12/31/10*,The Royal Embassy of Saudi Arabia (through Qorvis Communications),Patton Boggs LLP,Local Transportation,Qorvis Communications LLC,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108386
115.49,12/31/10*,The Royal Embassy of Saudi Arabia (through Qorvis Communications),Patton Boggs LLP,Client Subsistence - Meals,Qorvis Communications LLC,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108387
90.59,12/31/10*,The Royal Embassy of Saudi Arabia (through Qorvis Communications),Patton Boggs LLP,Subscriptions,Qorvis Communications LLC,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108388
305.00,12/31/10*,The Royal Embassy of Saudi Arabia (through Qorvis Communications),Patton Boggs LLP,Court Costs/Filing Fees,Qorvis Communications LLC,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108389
2314.11,12/31/10*,The Royal Embassy of Saudi Arabia (through Qorvis Communications),Patton Boggs LLP,Lexis-Nexis/Library Research Time,Qorvis Communications LLC,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108390
3.32,12/31/10*,The Royal Embassy of Saudi Arabia (through Qorvis Communications),Patton Boggs LLP,Postage,Qorvis Communications LLC,http://www.fara.gov/docs/2165-Supplemental-Statement-20110204-12.pdf,108391
