Client,Amount,Date,Registrant,Purpose,From subcontractor,Source
Korea Trade - Investment Promotion Agency (KOTRA),483396.82,04/30/13*,Korea Trade Promotion Center,"Korean Business Center, New Jersey",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf
Korea Trade - Investment Promotion Agency (KOTRA),364052.64,04/30/13*,Korea Trade Promotion Center,"Korean Business Center, Torrance",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf
Korea Trade - Investment Promotion Agency (KOTRA),419429.13,04/30/13*,Korea Trade Promotion Center,"Korean Business Center, Des Plaines",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf
Korea Trade - Investment Promotion Agency (KOTRA),248287.92,04/30/13*,Korea Trade Promotion Center,"Korean Business Center, Virginia",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf
Korea Trade - Investment Promotion Agency (KOTRA),660672.00,04/30/13*,Korea Trade Promotion Center,"Korean Business Center, Silicon Valley",,http://www.fara.gov/docs/1619-Supplemental-Statement-20130528-18.pdf
Japan External Trade Organization (JETRO),9351393.00,12/31/11*,JETRO New York,,,http://www.fara.gov/docs/1643-Supplemental-Statement-20120131-16.pdf
Japan External Trade Organization (JETRO),8518127.00,06/30/12*,JETRO New York,,,http://www.fara.gov/docs/1643-Supplemental-Statement-20120731-17.pdf
Japan External Trade Organization (JETRO),4610314.00,12/31/12*,JETRO New York,,,http://www.fara.gov/docs/1643-Supplemental-Statement-20130205-18.pdf
His Holiness the Dalai Lama,6090.00,03/31/13*,The Office Of Tibet,Tibetan Association of Northern California,,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
His Holiness the Dalai Lama,2168.00,03/31/13*,The Office Of Tibet,Capital Area Tibetan Association,,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
His Holiness the Dalai Lama,1626.00,03/31/13*,The Office Of Tibet,Belleville Tibetan Association,,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
His Holiness the Dalai Lama,73440.00,03/31/13*,The Office Of Tibet,Tibetan Community of New York & New Jersey,,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
His Holiness the Dalai Lama,5118.00,03/31/13*,The Office Of Tibet,Individual,,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
His Holiness the Dalai Lama,2062.00,03/31/13*,The Office Of Tibet,Hampshire Tibetans,,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
His Holiness the Dalai Lama,892.00,03/31/13*,The Office Of Tibet,Tibetan Association of Boston,,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
His Holiness the Dalai Lama,43511.00,03/31/13*,The Office Of Tibet,"Ontario Tibetan Association, Canada",,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
His Holiness the Dalai Lama,4692.00,03/31/13*,The Office Of Tibet,"Tibetan Association of Washington, Seattle",,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
His Holiness the Dalai Lama,5820.00,03/31/13*,The Office Of Tibet,Tibetan Allinace of Chicago,,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
His Holiness the Dalai Lama,612.00,03/31/13*,The Office Of Tibet,Idaho Tibetan Association,,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
His Holiness the Dalai Lama,98330.00,03/31/13*,The Office Of Tibet,Minnesota Tibetan Association,,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
His Holiness the Dalai Lama,25272.00,03/31/13*,The Office Of Tibet,Tibetan Community of New York & New Jersey,,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
His Holiness the Dalai Lama,4712.00,03/31/13*,The Office Of Tibet,Individual,,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
His Holiness the Dalai Lama,9212.00,03/31/13*,The Office Of Tibet,Tibetan Association of Santa Fe,,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
His Holiness the Dalai Lama,14390.00,03/31/13*,The Office Of Tibet,"Ontario Tibetan Association, Canada",,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
His Holiness the Dalai Lama,17830.00,03/31/13*,The Office Of Tibet,Tibetan Community of New York & New Jersey,,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
His Holiness the Dalai Lama,3328.00,03/31/13*,The Office Of Tibet,Tibetan Association of Boston,,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
His Holiness the Dalai Lama,14290.00,03/31/13*,The Office Of Tibet,Utah Tibetan Association,,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
His Holiness the Dalai Lama,6700.00,03/31/13*,The Office Of Tibet,Vermont Tibetan Association,,http://www.fara.gov/docs/1699-Supplemental-Statement-20130411-16.pdf
State of Israel,6000.00,2012-07-05,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,83970.75,2012-08-10,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,90995.63,2012-08-17,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,64400.64,2012-08-20,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,17029.50,2012-08-30,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,95438.27,2012-09-10,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,49464.27,2012-10-22,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,1966.51,2012-11-05,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,130000.00,2012-11-06,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,21326.63,2012-11-13,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,8791.13,2012-11-19,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,16000.00,2012-11-23,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,30587.63,2012-12-03,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,19928.50,2012-12-21,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,2993.63,2012-12-27,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,251.05,2012-08-10,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,1170.45,2012-08-17,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,138.49,2012-08-20,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,15536.53,2012-09-10,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,16651.92,2012-10-22,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,0.71,2012-11-05,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,6796.38,2012-11-06,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,1652.45,2012-11-13,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,9044.70,2012-12-03,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,71.50,2012-12-21,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,53103.19,2012-12-27,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
State of Israel,225.04,2012-08-30,"Arnold & Porter, LLP",,,http://www.fara.gov/docs/1750-Supplemental-Statement-20130130-16.pdf
Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,4018303.08,12/31/12*,Quebec Government House,New York and Washington,,http://www.fara.gov/docs/1787-Supplemental-Statement-20130301-16.pdf
Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,216869.79,12/31/12*,Quebec Government House,Atlanta,,http://www.fara.gov/docs/1787-Supplemental-Statement-20130301-16.pdf
Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,258251.09,12/31/12*,Quebec Government House,Boston,,http://www.fara.gov/docs/1787-Supplemental-Statement-20130301-16.pdf
Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,215617.23,12/31/12*,Quebec Government House,Chicago,,http://www.fara.gov/docs/1787-Supplemental-Statement-20130301-16.pdf
Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,330504.91,12/31/12*,Quebec Government House,Los Angeles,,http://www.fara.gov/docs/1787-Supplemental-Statement-20130301-16.pdf
Japan External Trade Organization (JETRO),65300.00,2012-10-04,JETRO San Francisco,Office expenses,,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf
Japan External Trade Organization (JETRO),55600.00,2012-11-08,JETRO San Francisco,Office expenses,,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf
Japan External Trade Organization (JETRO),124900.00,2012-12-06,JETRO San Francisco,Office expenses,,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf
Japan External Trade Organization (JETRO),56100.00,2013-01-08,JETRO San Francisco,Office expenses,,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf
Japan External Trade Organization (JETRO),357000.00,2013-02-06,JETRO San Francisco,Office expenses,,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf
Japan External Trade Organization (JETRO),56100.00,2013-02-07,JETRO San Francisco,Office expenses,,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf
Japan External Trade Organization (JETRO),56100.00,2013-03-07,JETRO San Francisco,Office expenses,,http://www.fara.gov/docs/1813-Supplemental-Statement-20130430-18.pdf
Japan External Trade Organization (JETRO),856400.00,02/28/13*,JETRO Chicago,,,http://www.fara.gov/docs/1850-Supplemental-Statement-20130326-17.pdf
ENIT - Agenzia Nazionale del Turismo (Italian Government Tourist Board),106841.00,12/31/12*,Italian Government Tourist Board,,,http://www.fara.gov/docs/1884-Supplemental-Statement-20130405-21.pdf
Tourism Authority of Thailand,273690.00,12/31/12*,Tourism Authority Of Thailand,admin. budget,,http://www.fara.gov/docs/1897-Supplemental-Statement-20130205-16.pdf
Tourism Authority of Thailand,353158.00,12/31/12*,Tourism Authority Of Thailand,marketing budget,,http://www.fara.gov/docs/1897-Supplemental-Statement-20130205-16.pdf
Tourism Authority of Thailand,393821.00,12/31/12*,Tourism Authority Of Thailand,admin budget,,http://www.fara.gov/docs/1897-Supplemental-Statement-20130205-16.pdf
Singapore Economic Development Board,1011125.24,02/28/13*,Singapore Economic Development Board,Operational Expenses,,http://www.fara.gov/docs/2003-Supplemental-Statement-20130410-17.pdf
Alpine Tourist Commission,5500.00,2012-10-26,Alpine Tourist Commission,Best of the Alps Participation Fees,,http://www.fara.gov/docs/2052-Supplemental-Statement-20130424-17.pdf
Alpine Tourist Commission,193960.00,2013-02-13,Alpine Tourist Commission,Austrian Tourist Office,,http://www.fara.gov/docs/2052-Supplemental-Statement-20130424-17.pdf
Romanian Tourism Ministry,125369.25,12/31/11*,Romanian Tourist Office,,,http://www.fara.gov/docs/2093-Supplemental-Statement-20120131-15.pdf
Hong Kong Tourism Board,1589069.00,04/30/13*,Head Office In The United States Hong Kong Tourism,,,http://www.fara.gov/docs/2110-Supplemental-Statement-20130520-17.pdf
Tourism Authority of Thailand,648098.22,12/31/12*,Tourism Authority of Thailand,,,http://www.fara.gov/docs/2178-Supplemental-Statement-20130208-19.pdf
Hong Kong Trade Development Council,3304416.80,07/31/12*,Hong Kong Trade Development Council Inc.,,,http://www.fara.gov/docs/2181-Supplemental-Statement-20130308-18.pdf
Government of Antigua and Barbuda,119869.58,02/28/13*,Hogan & Hartson LLP (Hogan Lovells US LLP),,,http://www.fara.gov/docs/2244-Supplemental-Statement-20130329-16.pdf
Government of Japan,177441.15,02/28/13*,Hogan & Hartson LLP (Hogan Lovells US LLP),,,http://www.fara.gov/docs/2244-Supplemental-Statement-20130329-16.pdf
"Government of Ontario, Ministry of Natural Resources and Ministry of Economic Development and Trade",101748.39,02/28/13*,Hogan & Hartson LLP (Hogan Lovells US LLP),,,http://www.fara.gov/docs/2244-Supplemental-Statement-20130329-16.pdf
Pemex-Exploracion y Produccion,1565600.00,02/28/13*,Hogan & Hartson LLP (Hogan Lovells US LLP),,,http://www.fara.gov/docs/2244-Supplemental-Statement-20130329-16.pdf
Royal Embassy of Saudi Arabia,96245.57,02/28/13*,Hogan & Hartson LLP (Hogan Lovells US LLP),,,http://www.fara.gov/docs/2244-Supplemental-Statement-20130329-16.pdf
Japan External Trade Organization (JETRO),54267.38,2012-10-01,"JETRO, Houston",General purpose,,http://www.fara.gov/docs/2277-Supplemental-Statement-20130423-16.pdf
Japan External Trade Organization (JETRO),87580.31,2012-11-01,"JETRO, Houston",General purpose,,http://www.fara.gov/docs/2277-Supplemental-Statement-20130423-16.pdf
Japan External Trade Organization (JETRO),49979.16,2012-12-01,"JETRO, Houston",General purpose,,http://www.fara.gov/docs/2277-Supplemental-Statement-20130423-16.pdf
Japan External Trade Organization (JETRO),92415.22,2013-01-01,"JETRO, Houston",General purpose,,http://www.fara.gov/docs/2277-Supplemental-Statement-20130423-16.pdf
Japan External Trade Organization (JETRO),49599.02,2013-02-01,"JETRO, Houston",General purpose,,http://www.fara.gov/docs/2277-Supplemental-Statement-20130423-16.pdf
Japan External Trade Organization (JETRO),193409.71,2013-03-01,"JETRO, Houston",General purpose,,http://www.fara.gov/docs/2277-Supplemental-Statement-20130423-16.pdf
World Zionist Organization,3243114.00,12/31/12*,"World Zionist Organization_American Section, Inc.","Operating income - credited by the World Zionist Organization, Jerusalem",,http://www.fara.gov/docs/2278-Supplemental-Statement-20130130-16.pdf
World Zionist Organization,1834762.00,12/31/12*,"World Zionist Organization_American Section, Inc.","Tuition, scholarships and registration fees",,http://www.fara.gov/docs/2278-Supplemental-Statement-20130130-16.pdf
World Zionist Organization,16162.00,12/31/12*,"World Zionist Organization_American Section, Inc.",Other,,http://www.fara.gov/docs/2278-Supplemental-Statement-20130130-16.pdf
Bahamas Ministry of Tourism,19500000.00,12/31/12*,Bahamas Ministry of Tourism,,,http://www.fara.gov/docs/2310-Supplemental-Statement-20130208-20.pdf
Malaysian Investment Development Authority,846857.63,12/31/12*,Malaysian Industrial Development Authority,,,http://www.fara.gov/docs/2331-Supplemental-Statement-20130128-16.pdf
Unifrance Film International,25189.00,01/31/13*,The French Film Office/Unifrance USA,,,http://www.fara.gov/docs/2358-Supplemental-Statement-20130315-16.pdf
Jamaica Tourist Board,1434823.00,01/31/13*,Jamaica Tourist Board,,,http://www.fara.gov/docs/2360-Supplemental-Statement-20130319-19.pdf
Republic of Singapore (Singapore Tourism Board),881335.26,03/31/13*,Singapore Tourism Board,,,http://www.fara.gov/docs/2414-Supplemental-Statement-20130418-16.pdf
Jamaica Tourist Board,2696874.37,02/28/13*,Draftfcb,,,http://www.fara.gov/docs/2415-Supplemental-Statement-20130321-21.pdf
"Foreign Government, Kobe Municipal Government",59676.10,01/31/13*,Kobe Trade Information Office,,,http://www.fara.gov/docs/2438-Supplemental-Statement-20130211-18.pdf
Peruvian Export and Tourism Promotion Board - PROMPERU,49900.00,04/30/13*,Burson-Marsteller,,,http://www.fara.gov/docs/2469-Supplemental-Statement-20130531-17.pdf
Government of the Cayman Islands (Department of Tourism),4999597.94,03/31/13*,Government of the Cayman Islands Dept of Tourism,,,http://www.fara.gov/docs/2500-Supplemental-Statement-20130430-18.pdf
Malaysia Tourism Promotion Board,879961.29,04/30/13*,Malaysia Tourism Promotion Board,,,http://www.fara.gov/docs/2510-Supplemental-Statement-20130604-18.pdf
Beef + Lamb New Zealand (B+LNZ),165000.00,01/31/13*,Meat and Wool New Zealand,,,http://www.fara.gov/docs/2526-Supplemental-Statement-20130226-17.pdf
Beef + Lamb New Zealand (B+LNZ),165923.00,01/31/13*,Meat and Wool New Zealand,,,http://www.fara.gov/docs/2526-Supplemental-Statement-20130226-17.pdf
Korea Tourism Organization,624965.68,04/30/12*,Korea National Tourism Organization Los Angles,,,http://www.fara.gov/docs/2544-Supplemental-Statement-20120531-17.pdf
Korea Tourism Organization,112578.67,2012-11-13,Korea National Tourism Organization Los Angles,"Korea tourism promotional activities, office maintenances, staff salaries, advertisements, etc",,http://www.fara.gov/docs/2544-Supplemental-Statement-20130531-19.pdf
Korea Tourism Organization,173260.00,2012-12-06,Korea National Tourism Organization Los Angles,"Korea tourism promotional activities, office maintenances, staff salaries, advertisements, etc",,http://www.fara.gov/docs/2544-Supplemental-Statement-20130531-19.pdf
Korea Tourism Organization,70522.75,2012-12-27,Korea National Tourism Organization Los Angles,"Korea tourism promotional activities, office maintenances, staff salaries, advertisements, etc",,http://www.fara.gov/docs/2544-Supplemental-Statement-20130531-19.pdf
Korea Tourism Organization,25471.24,2013-01-30,Korea National Tourism Organization Los Angles,"Korea tourism promotional activities, office maintenances, staff salaries, advertisements, etc",,http://www.fara.gov/docs/2544-Supplemental-Statement-20130531-19.pdf
Korea Tourism Organization,130026.11,2013-02-06,Korea National Tourism Organization Los Angles,"Korea tourism promotional activities, office maintenances, staff salaries, advertisements, etc",,http://www.fara.gov/docs/2544-Supplemental-Statement-20130531-19.pdf
Korea Tourism Organization,33860.00,2013-03-25,Korea National Tourism Organization Los Angles,"Korea tourism promotional activities, office maintenances, staff salaries, advertisements, etc",,http://www.fara.gov/docs/2544-Supplemental-Statement-20130531-19.pdf
Korea Tourism Organization,210031.00,2013-04-12,Korea National Tourism Organization Los Angles,"Korea tourism promotional activities, office maintenances, staff salaries, advertisements, etc",,http://www.fara.gov/docs/2544-Supplemental-Statement-20130531-19.pdf
Korea Tourism Organization,80000.00,2013-04-24,Korea National Tourism Organization Los Angles,"Korea tourism promotional activities, office maintenances, staff salaries, advertisements, etc",,http://www.fara.gov/docs/2544-Supplemental-Statement-20130531-19.pdf
Korea Tourism Organization,537341.44,04/30/13*,Korea National Tourism Organization,"Promotional Activities, office maintenance, etc",,http://www.fara.gov/docs/2614-Supplemental-Statement-20130530-17.pdf
"Turkish Republic of Northern Cyprus, H.E. Dr. Dervis Eroglu",630412.32,10/31/12*,Representative of the Turkish Republic of Northern Cyprus,,,http://www.fara.gov/docs/2619-Supplemental-Statement-20130404-16.pdf
St. Lucia Tourist Board,305.00,09/30/12*,St Lucia Tourist Board,,,http://www.fara.gov/docs/2668-Supplemental-Statement-20130328-16.pdf
St. Lucia Tourist Board,9970.00,09/30/12*,St Lucia Tourist Board,,,http://www.fara.gov/docs/2668-Supplemental-Statement-20130328-16.pdf
St. Lucia Tourist Board,9423.00,09/30/12*,St Lucia Tourist Board,,,http://www.fara.gov/docs/2668-Supplemental-Statement-20130328-16.pdf
St. Lucia Tourist Board,9423.00,09/30/12*,St Lucia Tourist Board,,,http://www.fara.gov/docs/2668-Supplemental-Statement-20130328-16.pdf
St. Lucia Tourist Board,3490.00,09/30/12*,St Lucia Tourist Board,,,http://www.fara.gov/docs/2668-Supplemental-Statement-20130328-16.pdf
St. Lucia Tourist Board,4188.00,09/30/12*,St Lucia Tourist Board,,,http://www.fara.gov/docs/2668-Supplemental-Statement-20130328-16.pdf
St. Lucia Tourist Board,349.00,09/30/12*,St Lucia Tourist Board,,,http://www.fara.gov/docs/2668-Supplemental-Statement-20130328-16.pdf
St. Lucia Tourist Board,10470.00,09/30/12*,St Lucia Tourist Board,,,http://www.fara.gov/docs/2668-Supplemental-Statement-20130328-16.pdf
Arab Bank PLC,757895.00,09/30/12*,White & Case LLP,,,http://www.fara.gov/docs/2759-Supplemental-Statement-20121031-17.pdf
Arab Bank PLC,73691.00,09/30/12*,White & Case LLP,,,http://www.fara.gov/docs/2759-Supplemental-Statement-20121031-17.pdf
Deutsche Bahn AG,21632.00,09/30/12*,White & Case LLP,,,http://www.fara.gov/docs/2759-Supplemental-Statement-20121031-17.pdf
Deutsche Bahn AG,2131.00,09/30/12*,White & Case LLP,,,http://www.fara.gov/docs/2759-Supplemental-Statement-20121031-17.pdf
Arab Bank PLC,1589000.00,03/31/13*,White & Case LLP,,,http://www.fara.gov/docs/2759-Supplemental-Statement-20130430-18.pdf
Government of the Republic of Singapore,1596212.90,03/31/13*,White & Case LLP,,,http://www.fara.gov/docs/2759-Supplemental-Statement-20130430-18.pdf
Japan Fisheries Association (JFA),22380.03,03/31/13*,Jay Donald Hastings,retainer,,http://www.fara.gov/docs/2867-Supplemental-Statement-20130429-18.pdf
American Palm Oil Council,3120.50,2012-07-01,Dickstein Shapiro LLP,Compensation for legal services rendered.,,http://www.fara.gov/docs/3028-Supplemental-Statement-20130128-16.pdf
American Palm Oil Council,2208.50,2012-08-01,Dickstein Shapiro LLP,Compensation for legal services rendered.,,http://www.fara.gov/docs/3028-Supplemental-Statement-20130128-16.pdf
American Palm Oil Council,2378.50,2012-09-01,Dickstein Shapiro LLP,Compensation for legal services rendered.,,http://www.fara.gov/docs/3028-Supplemental-Statement-20130128-16.pdf
American Palm Oil Council,470.00,2012-10-01,Dickstein Shapiro LLP,Compensation for legal services rendered.,,http://www.fara.gov/docs/3028-Supplemental-Statement-20130128-16.pdf
American Palm Oil Council,634.50,2012-11-01,Dickstein Shapiro LLP,Compensation for legal services rendered.,,http://www.fara.gov/docs/3028-Supplemental-Statement-20130128-16.pdf
American Palm Oil Council,1928.00,2012-12-01,Dickstein Shapiro LLP,Compensation for legal services rendered.,,http://www.fara.gov/docs/3028-Supplemental-Statement-20130128-16.pdf
"Government of the Republic of Turkey, Embassy",46553.57,2012-07-01,Dickstein Shapiro LLP,Compensation for legal and consulting services rendered.,,http://www.fara.gov/docs/3028-Supplemental-Statement-20130128-16.pdf
"Government of the Republic of Turkey, Embassy",46553.57,2012-08-01,Dickstein Shapiro LLP,Compensation for legal and consulting services rendered.,,http://www.fara.gov/docs/3028-Supplemental-Statement-20130128-16.pdf
"Government of the Republic of Turkey, Embassy",44291.00,2012-09-01,Dickstein Shapiro LLP,Compensation for legal and consulting services rendered.,,http://www.fara.gov/docs/3028-Supplemental-Statement-20130128-16.pdf
"Government of the Republic of Turkey, Embassy",44291.00,2012-10-01,Dickstein Shapiro LLP,Compensation for legal and consulting services rendered.,,http://www.fara.gov/docs/3028-Supplemental-Statement-20130128-16.pdf
"Government of the Republic of Turkey, Embassy",44291.00,2012-11-01,Dickstein Shapiro LLP,Compensation for legal and consulting services rendered.,,http://www.fara.gov/docs/3028-Supplemental-Statement-20130128-16.pdf
"Government of the Republic of Turkey, Embassy",44291.00,2012-12-01,Dickstein Shapiro LLP,Compensation for legal and consulting services rendered.,,http://www.fara.gov/docs/3028-Supplemental-Statement-20130128-16.pdf
Republic of Singapore (Singapore Tourism Board),75000.00,01/31/13*,"M. Silver Associates, Inc.",,,http://www.fara.gov/docs/3131-Supplemental-Statement-20130309-16.pdf
Via Rail,50000.00,01/31/13*,"M. Silver Associates, Inc.",,,http://www.fara.gov/docs/3131-Supplemental-Statement-20130309-16.pdf
Turkish Culture & Tourist Office,107500.00,01/31/13*,"M. Silver Associates, Inc.",,,http://www.fara.gov/docs/3131-Supplemental-Statement-20130309-16.pdf
Oficina De Visitantes Y Convenciones De La Riviera Nayarit,44665.00,01/31/13*,"M. Silver Associates, Inc.",,,http://www.fara.gov/docs/3131-Supplemental-Statement-20130309-16.pdf
Manufactured Imports and Investment Promotion Organization (MIPRO),208748.37,02/28/13*,Manufactured Imports and Investment Promotion Organization (MIPRO),,,http://www.fara.gov/docs/3196-Supplemental-Statement-20130322-16.pdf
"The Information Technology Industry Development Agency, ITIDA (through Hill & Knowlton, London)",6884.70,2011-07-21,"Hill & Knowlton, Inc.",professional services,,http://www.fara.gov/docs/3301-Supplemental-Statement-20120131-22.pdf
China National Tourism Administration (CNTA),850000.00,12/31/12*,China National Tourist Office,,,http://www.fara.gov/docs/3318-Supplemental-Statement-20130111-16.pdf
