Amount,Date,Recipient,Registrant,Contributing Lobbyist or PAC,Source,Record ID
1500.00,2011-01-31,"Sen.  Richard Lugar, office: Senate, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29752
3500.00,2011-03-02,"Sen.  Scott Brown, office: Senate, agency: Congress; ",Patton Boggs LLP,,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29754
1500.00,2011-03-02,"Sen.  Scott Brown, office: Senate, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29757
1000.00,2011-03-04,"Rep.  Lloyd Doggett, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29759
5000.00,2011-03-04,"Sen.  John Kerry, office: Senate, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29761
3500.00,2011-03-14,"Sen.  Olympia Snowe, office: Senate, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29763
1000.00,2011-03-14,"Rep.  Tim Walberg, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29765
15000.00,2011-04-08,"NRCC, office: Party; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29767
3500.00,2011-04-08,"Sen.  John Barrasso, office: Senate, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29769
1500.00,2011-04-08,"Sen.  John Barrasso, office: Senate, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29770
1000.00,2011-04-08,"Rep.  Doc Hastings, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29771
5000.00,2011-04-12,"Sen.  Ben Nelson, office: Senate, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29772
500.00,2011-04-14,"Rep.  Kevin Yoder, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29773
1500.00,2011-04-14,"Rep.  Kevin Yoder, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29775
5000.00,2011-04-14,"Sen.  Jon Tester, office: Senate, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29776
5000.00,2011-04-14,"Sen.  Robert Casey, office: Senate, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29778
1000.00,2011-04-14,"Rep.  Erik Paulsen, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29779
3500.00,2011-04-14,"Sen.  Bob Corker, office: Senate, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29780
1500.00,2011-04-14,"Sen.  Bob Corker, office: Senate, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29782
3500.00,2011-04-14,"Rep.  Pete Sessions, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29784
1500.00,2011-04-14,"Rep.  Pete Sessions, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29785
1000.00,2011-05-06,"Rep.  John Duncan, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29788
3500.00,2011-05-06,"Rep.  Jack Kingston, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29790
1500.00,2011-05-06,"Rep.  Jack Kingston, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29792
2500.00,2011-05-25,"Rep.  Tim Murphy, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29793
1000.00,2011-05-25,"Rep.  Heath Shuler, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29794
15000.00,2011-05-25,"RNC, office: Party; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29796
1000.00,2011-05-25,Terri Sewell for Congress; ,Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29798
5000.00,2011-06-08,"Sen.  Dean Heller, office: Senate, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29801
2500.00,2011-06-09,"Sen.  Roger Wicker, office: Senate, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29804
1500.00,2011-06-09,"Sen.  Roger Wicker, office: Senate, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29806
1000.00,2011-06-09,"Sen.  Roger Wicker, office: Senate, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29807
1000.00,2011-06-14,"Rep.  Rodney Alexander, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29810
2500.00,2011-06-14,"Rep.  C. Ruppersberger, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29812
2500.00,2011-06-14,"Rep.  Carolyn Maloney, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29814
1000.00,2011-06-16,"Rep.  Howard Berman, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29815
1000.00,2011-06-17,"Rep.  Jim Matheson, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29817
15000.00,2011-06-20,"DCCC, office: Party; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29819
15000.00,2011-06-21,"DSCC, office: Party; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29820
1000.00,2011-06-21,"Rep.  Lee Terry, office: House, agency: Congress; ",Patton Boggs LLP,Patton Boggs LLP PAC,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29821
250.00,2011-10-26,"Rep.  Steve Stivers, office: House, agency: Congress; ",Patton Boggs LLP,Rosemary Becchi,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29825
1000.00,2011-11-18,"ERIC PAC, office: Rep. Eric Cantor, agency: Leadership PAC; ",Patton Boggs LLP,Rosemary Becchi,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29828
1000.00,2011-07-12,"Sen.  Kirsten Gillibrand, office: Senate, agency: Congress; ",Patton Boggs LLP,"Boggs, Thomas H.",http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29831
1000.00,2011-07-12,FRIENDS OF PETER FRANCHOT; ,Patton Boggs LLP,"Boggs, Thomas H.",http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29834
500.00,2011-07-13,Jack Conway for Attorney General; ,Patton Boggs LLP,"Boggs, Thomas H.",http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29837
5000.00,2011-07-31,Patton Boggs PAC; ,Patton Boggs LLP,"Boggs, Thomas H.",http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29840
5000.00,2011-09-15,"DSCC, office: Party; ",Patton Boggs LLP,"Boggs, Thomas H.",http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29841
1000.00,2011-09-19,"Rep. Charlie Rangel, office: Rep. Charles Rangel, agency: House; ",Patton Boggs LLP,"Boggs, Thomas H.",http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29842
1000.00,2011-09-26,"Rep.  Shelley Berkley, office: House, agency: Congress; ",Patton Boggs LLP,"Boggs, Thomas H.",http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29843
1000.00,2011-10-12,"Sen.  Mary Landrieu, office: Senate, agency: Congress; ",Patton Boggs LLP,"Boggs, Thomas H.",http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29844
500.00,2011-10-24,"Rep.  Allyson Schwartz, office: House, agency: Congress; ",Patton Boggs LLP,"Boggs, Thomas H.",http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29845
1000.00,2011-11-09,"Sen.  Benjamin Cardin, office: Senate, agency: Congress; ",Patton Boggs LLP,"Boggs, Thomas H.",http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29846
500.00,2011-11-10,"Rep.  Eddie Johnson, office: House, agency: Congress; ",Patton Boggs LLP,"Boggs, Thomas H.",http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29847
2000.00,2011-11-11,"GLACIER PAC, office: Sen. Max Baucus, agency: Leadership PAC; ",Patton Boggs LLP,"Boggs, Thomas H.",http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29848
1000.00,2011-07-13,"Sen.  Kirsten Gillibrand, office: Senate, agency: Congress; ",Patton Boggs LLP,Senator John Breaux,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29862
1000.00,2011-09-19,"Sen.  Maria Cantwell, office: Senate, agency: Congress; ",Patton Boggs LLP,Senator John Breaux,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29863
1000.00,2011-09-29,"Rep.  Nick Rahall, office: House, agency: Congress; ",Patton Boggs LLP,Senator John Breaux,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29864
1000.00,2011-11-01,"Sen.  Mary Landrieu, office: Senate, agency: Congress; ",Patton Boggs LLP,Senator John Breaux,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29865
1000.00,2011-11-11,"Sen.  Bill Nelson, office: Senate, agency: Congress; ",Patton Boggs LLP,Senator John Breaux,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29866
1000.00,2011-12-13,"Sen.  Robert Menndez, office: Senate, agency: Congress; ",Patton Boggs LLP,Senator John Breaux,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29867
2000.00,2011-12-30,"Rep.  Shelley Berkley, office: House, agency: Congress; ",Patton Boggs LLP,Senator John Breaux,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29868
50.00,2011-09-17,"Rep.  Cheri Bustos, office: House, agency: Congress; ",Patton Boggs LLP,Timothy Chorba,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29869
250.00,2011-09-23,"Rep.  John Dingell, office: House, agency: Congress; ",Patton Boggs LLP,Timothy Chorba,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29871
500.00,2011-09-16,"Sen.  Chris Coons, office: Senate, agency: Congress; ",Patton Boggs LLP,Vincent Frillici,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29874
250.00,2011-09-16,"Rep.  John Dingell, office: House, agency: Congress; ",Patton Boggs LLP,Vincent Frillici,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29875
250.00,2011-09-30,"Rep.  James Himes, office: House, agency: Congress; ",Patton Boggs LLP,Vincent Frillici,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29877
500.00,2011-11-09,"Sen.  Tim Johnson, office: Senate, agency: Congress; ",Patton Boggs LLP,Vincent Frillici,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29880
300.00,2011-12-06,"Bluegrass Committee, office: Sen. Mitch McConnell, agency: Leadership PAC; ",Patton Boggs LLP,Vincent Frillici,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29883
250.00,2011-12-07,"Rep.  Edolphus Towns, office: House, agency: Congress; ",Patton Boggs LLP,Vincent Frillici,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29885
1000.00,2011-12-07,"Rep.  Dale Kildee, office: House, agency: Congress; ",Patton Boggs LLP,Vincent Frillici,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29888
250.00,2011-12-21,"Sen.  Robert Menndez, office: Senate, agency: Congress; ",Patton Boggs LLP,Vincent Frillici,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,29890
250.00,2011-07-19,"Sen.  Robert Portman, office: Senate, agency: Congress; ",Patton Boggs LLP,"Gavin, Stephen D.",http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30008
801.00,2011-07-26,Al Franken for Senate; ,Patton Boggs LLP,"Gavin, Stephen D.",http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30009
5000.00,2011-09-15,"DSCC, office: Party; ",Patton Boggs LLP,Laurence Harris,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30010
500.00,2011-09-30,"Sen.  Kirsten Gillibrand, office: Senate, agency: Congress; ",Patton Boggs LLP,Laurence Harris,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30011
500.00,2011-09-30,"Rep.  John Dingell, office: House, agency: Congress; ",Patton Boggs LLP,Laurence Harris,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30012
500.00,2011-09-30,"Sen.  Maria Cantwell, office: Senate, agency: Congress; ",Patton Boggs LLP,Laurence Harris,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30013
500.00,2011-09-30,"Rep.  Shelley Berkley, office: House, agency: Congress; ",Patton Boggs LLP,Laurence Harris,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30014
1000.00,2011-12-05,"DSCC, office: Party; ",Patton Boggs LLP,Laurence Harris,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30015
500.00,2011-12-07,"Sen.  Mary Landrieu, office: Senate, agency: Congress; ",Patton Boggs LLP,Laurence Harris,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30016
500.00,2011-12-07,"Rep.  Edolphus Towns, office: House, agency: Congress; ",Patton Boggs LLP,Laurence Harris,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30017
1000.00,2011-12-13,"Sen.  Robert Menndez, office: Senate, agency: Congress; ",Patton Boggs LLP,Laurence Harris,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30018
500.00,2011-12-14,"Rep.  Nita Lowey, office: House, agency: Congress; ",Patton Boggs LLP,Laurence Harris,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30019
1000.00,2011-12-14,"Sen.  Benjamin Cardin, office: Senate, agency: Congress; ",Patton Boggs LLP,Laurence Harris,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30020
500.00,2011-12-16,"Rep.  Allyson Schwartz, office: House, agency: Congress; ",Patton Boggs LLP,Laurence Harris,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30021
500.00,2011-07-08,"Sen.  Kirsten Gillibrand, office: Senate, agency: Congress; ",Patton Boggs LLP,"Kapla, Robert S.",http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30022
250.00,2011-09-19,"Rep.  John Dingell, office: House, agency: Congress; ",Patton Boggs LLP,"Kapla, Robert S.",http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30023
100.00,2011-10-04,"Rep.  Kay Granger, office: House, agency: Congress; ",Patton Boggs LLP,"Kapla, Robert S.",http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30024
500.00,2011-12-15,"Candidate Anthony Brown, agency: Maryland Lieutenant Governor's Race; ",Patton Boggs LLP,Jude Kearney,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30025
2500.00,2011-07-12,"Rep.  Kevin McCarthy, office: House, agency: Congress; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30026
2000.00,2011-07-12,"Sen.  Marco Rubio, office: Senate, agency: Congress; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30027
1000.00,2011-07-12,Citizens for Pat Grassley; ,Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30028
2500.00,2011-07-12,"Rep.  Kevin McCarthy, office: House, agency: Congress; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30029
500.00,2011-07-19,Committee to Elect Max Phillips; ,Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30030
5000.00,2011-07-19,ROMNEY FOR PRESIDENT; ,Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30031
1000.00,2011-07-19,"Sen.  Orrin Hatch, office: Senate, agency: Congress; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30032
2500.00,2011-07-19,"Rep.  Dave Camp, office: House, agency: Congress; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30033
1000.00,2011-09-07,"Rep.  Gregg Harper, office: House, agency: Congress; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30034
1000.00,2011-09-07,"Sen.  Jerry Moran, office: Senate, agency: Congress; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30035
1000.00,2011-09-08,"Rep.  Marsha Blackburn, office: House, agency: Congress; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30036
1000.00,2011-09-08,KC Crosbie for State Treasurer; ,Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30037
500.00,2011-09-13,Todd Wade for State House; ,Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30038
5000.00,2011-09-13,"Rep.  Steven Palazzo, office: House, agency: Congress; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30039
1000.00,2011-09-13,"Rep.  Heather Wilson, office: House, agency: Congress; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30040
1000.00,2011-09-13,"Rep.  Jeb Hensarling, office: House, agency: Congress; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30041
1000.00,2011-10-26,"Rep.  Daniel Lungren, office: House, agency: Congress; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30042
1000.00,2011-10-27,"Rep.  Eric Cantor, office: House, agency: Congress; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30043
2500.00,2011-11-09,Linda Lingle Senate Committee; ,Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30044
2500.00,2011-11-10,ROMNEY FOR PRESIDENT; ,Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30045
1000.00,2011-11-30,"Sen.  Dean Heller, office: Senate, agency: Congress; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30046
1000.00,2011-11-30,"Rep.  Rick Berg, office: House, agency: Congress; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30047
1000.00,2011-12-07,"Rep.  John Mica, office: House, agency: Congress; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30048
2000.00,2011-12-07,"Sen.  Pat Roberts, office: Senate, agency: Congress; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30049
2500.00,2011-12-07,"Heartland Values PAC, office: Sen. John Thune, agency: Leadership PAC; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30050
1500.00,2011-12-07,"Rep.  Rick Berg, office: House, agency: Congress; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30051
2000.00,2011-12-12,"Rep.  John Boehner, office: House, agency: Congress; ",Patton Boggs LLP,Senator Trent Lott,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30052
500.00,2011-08-24,"Rep.  Kevin McCarthy, office: House, agency: Congress; ",Patton Boggs LLP,Manny Rossman,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30053
1000.00,2011-12-16,"Sen.  Dean Heller, office: Senate, agency: Congress; ",Patton Boggs LLP,Manny Rossman,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30054
300.00,2011-12-23,Josh Mandel; ,Patton Boggs LLP,Manny Rossman,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30055
150.00,2011-10-04,"Rep.  Kay Granger, office: House, agency: Congress; ",Patton Boggs LLP,Audrey Rothrock,http://www.fara.gov/docs/2165-Supplemental-Statement-20120130-15.pdf,30056
