Government of Bermuda,Caribbean Tourism Organization,Bermuda,991,129768
Government of Bermuda,"Darlene Richeson & Associates, LLC",Bermuda,5786,129768
Bermuda Department of Tourism,Lou Hammond & Assoc. Inc,Bermuda,5935,130074
Bonaire,Caribbean Tourism Organization,Bonaire,991,130533
Horizontes LTDA,Ruder Finn Inc,Brazil,1481,130393
State of Minas Gerais,"CDN International, Inc.",Brazil,5992,130586
British Virgin Islands,Caribbean Tourism Organization,British Virgin Islands,991,129922
The British Virgin Islands Tourist Board,British Virgin Islands Tourist Board,British Virgin Islands,3354,129902
The Government of the Republic of Cameroon,Patton Boggs LLP,Cameroon,2165,129765
The Government of the Republic of Cameroon,GoodWorks International LLC,Cameroon,5414,129765
Jean-Jacques Ekindi,Pickens & Madson Canada Inc,Cameroon,6068,130495
Via Rail,Ruder Finn Inc,Canada,1481,129815
Quebec Government (Ministry Of International Relations); National Affairs; Governmental Relations an,Quebec Government House,Canada,1787,129751
"Government of Ontario, Ministry of Natural Resources and Ministry of Economic Development and Trade",Hogan & Hartson LLP (Hogan Lovells US LLP),Canada,2244,129777
Canadian Embassy,Garvey Schubert Barer A Partnership of Professiona,Canada,3047,129813
Province of Ontario,Garvey Schubert Barer A Partnership of Professiona,Canada,3047,129814
Province of Manitoba,Garvey Schubert Barer A Partnership of Professiona,Canada,3047,130252
Via Rail,"M. Silver Associates, Inc.",Canada,3131,129815
Government of British Columbia,"Akin Gump Strauss Hauer & Feld, LLP",Canada,3492,130077
"Bombardier, Inc.",Daniel J. Edelman,Canada,3634,130212
Grupo Vicini,Daniel J. Edelman,Canada,3634,130213
Tourism Toronto,Development Counsellors International,Canada,4777,130235
Pottawatomi Nation (Canada Keewatinosagiganing Pottawatomi),Native American Rights Fund,Canada,4832,129879
Canadian Broadcasting Corporation,Finkelstein Thompson LLP,Canada,5213,129929
Government of Alberta,Nelson Mullins Riley & Scarborough LLP,Canada,5928,130093
Province of Saskatchewan,Nelson Mullins Riley & Scarborough LLP,Canada,5928,130556
Government of Yukon,Nelson Mullins Riley & Scarborough LLP,Canada,5928,130627
Canadian Commercial Corporation,"O'Brien, Gentry & Scott, LLC (O'Brien & Associates LLC)",Canada,5971,130363
Government of Alberta,"Mehlman Vogel Castagnetti, Inc",Canada,6158,130093
Government of Alberta,"VHB Engineering, Surveying and Landscape Architecture, P.C., the NY affiliate of Vanasse Hangen Brustlin, Inc",Canada,6157,130093
Province of Quebec,Ronald Christie Strategies LLC,Canada,6026,130253
Government of Alberta,"Rasky Baerlein Strategic Communications, Inc.",Canada,6100,130093
Consulate General of Canada Boston,"Conover + Company Communications, Inc.",Canada,6044,130512
Delegation of Catalonia to the United States of America,"Independent Diplomat, Inc.",Catalonia,5860,130523
Government of the Cayman Islands,Caribbean Tourism Organization,Cayman Islands,991,130218
Government of the Cayman Islands (Department of Tourism),Government of the Cayman Islands Dept of Tourism,Cayman Islands,2500,129789
Government of the Cayman Islands,Sidley Austin LLP,Cayman Islands,3731,130218
Government of the Cayman Islands (Department of Tourism),"Missy Farren & Associates, Ltd. d/b/a MFA",Cayman Islands,5949,129789
"Kingdom 5-KR-215, Ltd.",International Merchandising Corporation,Cayman Islands,6032,130442
Government of the Cayman Islands,Carmen Group Inc.,Cayman Islands,6188,130218
Embassy of Chile,Ogilvy Public Relations Worldwide,Chile,5807,130594
Tourism Promotion of Chile,"Spring, O'Brien & Co., Inc.",Chile,5872,129876
Avianca S.A.,Holland & Knight LLP,Colombia,3718,129837
Federacion Nacional De Cafeteros De Colombia,"Colombian Coffee Federation, Inc.",Colombia,4909,129883
Government of Colombia,The Fratelli Group,Colombia,5867,130146
Avianca S.A.,Holland & Knight LLP,Colombia,3375,129837
Commonwealth Of Dominica,Caribbean Tourism Organization,Commonwealth of Dominica,991,129937
Commonwealth Of Dominica,"Commonwealth of Dominica Maritime Registry, Inc.",Commonwealth of Dominica,5334,129937
Mining Company of Katanga,"Akin Gump Strauss Hauer & Feld, LLP",Congo Kinsaha Zaire,3492,130555
Government of Cote d'Ivoire,"JWI, LLC dba Jefferson Waterman International",Cote D'Ivoire,4990,129841
Government of Cote d'Ivoire,Lanny J. Davis & Associates,Cote D'Ivoire,5985,129841
Government of Cote d'Ivoire,Augustin Douoguih,Cote D'Ivoire,6014,129841
Comite de Gestion de la Filliere Cafe-Cacao (Cocoa and Coffee Board) of Ivory Coast,AE Agritrade,Cote D'Ivoire,6016,130443
Government of Cote d'Ivoire,Robert McEwen,Cote D'Ivoire,6017,129841
"Office of the President, Government of the Republic of Cote d'Ivoire (CI)",LTL Strategies,Cote D'Ivoire,6082,129966
Government of the Republic of Croatia,Patton Boggs LLP,Croatia,2165,129983
Curacao,Caribbean Tourism Organization,Curacao,991,130532
Government of the Republic of Cyprus,"Podesta Group, Inc.",Cyprus,5926,129766
Government of the Republic of Cyprus,"Roberti + White, LLC",Cyprus,6065,129766
"Czech Ministry of Foreign Affairs, Czech Centers Division",Czech Center New York,Czech Republic,5115,129898
Mgr. Katerina Dlouha/Ministry of Finance CR/International Disputes and Foreign Claims  Department,"Squire Sanders and Dempsey, LLP",Czech Republic,6073,130511
Ministry of the Environment to the Czech Republic,"Squire Sanders and Dempsey, LLP",Czech Republic,6073,130578
The Ministry Of Trade & Industry Visit Denmark,Visit Denmark,Denmark,634,130060
South African Tourism,South African Tourism,Dominican Republic,603,130073
South African Tourism,Coyne PR,Dominican Republic,6177,130073
Embassy of Ecuador,Patton Boggs LLP,Ecuador,2165,130134
Ecuador Ministry of Tourism,Development Counsellors International,Ecuador,4777,130583
"Government of Ecuador, Embassy of the Republic of Ecuador",Fenton Communications,Ecuador,5945,130348
Republic of Ecuador,"International Remediation Services, LLC ",Ecuador,6048,130422
Office of the President of Ecuador (Yasuni-ITT),Humanitas Global Development,Ecuador,6126,130467
Republic of Ecuador,BLJ Worldwide LTD (Brown Lloyd James),Ecuador,5875,130422
Office of the President of Ecuador (Yasuni-ITT),BLJ Worldwide LTD (Brown Lloyd James),Ecuador,5875,130467
"Ministry of Coordination of Production, Employment, and Competitiveness; Republic of Ecuador","Blue Star Strategies, LLC",Ecuador,6083,130370
"The Information Technology Industry Development Agency, ITIDA (through Hill & Knowlton, London)","Hill & Knowlton, Inc.",Egypt,3301,130205
Government of the Arab Republic of Egypt,The Glover Park Group LLC,Egypt,5666,130040
Government of the Arab Republic of Egypt,"Podesta Group, Inc.",Egypt,5926,130040
Funes & Asociados Publicidad,"Cardenas Partners, LLC",El Salvador,6080,130444
Nationalist Republican Alliance (ARENA) ,Fernando Valladares,El Salvador,6167,130452
VisitBritain,Visitbritain,England,579,130031
Urenco Limited,Urenco Inc,England,5137,129899
"Sonangol, South Africa","Progress for Angola, Inc.",England,6120,130485
The Committee of Support for the Equatorial Guinea (CANIGE),"Global Trading International, Inc",Equatorial Guinea,6105,130464
Enterprise Estonia,Enterprise Estonia in San Jose,Estonia,5833,130268
Oromo Liberation Front (OLF),Oromo Liberation Front (OLF),Ethiopia,4610,129867
Ethiopian People Revolutionary Party,Ethiopian People Revolutionary Party,Ethiopia,4789,129878
Oromo Liberation Front (OLF),Oromo Liberation Front - USA,Ethiopia,5888,129867
Oromo Liberation Front (OLF),Oromo Liberation Front Foreign Relations Office In,Ethiopia,5895,129867
Netherlands Board Of Tourism & Conventions (NBTC) Vlietweg 15,Netherlands Board Of Tourism & Conventions,Europe,619,130059
Tourism Fiji,Ogilvy Public Relations Worldwide,Fiji,5807,130593
Bay Gardens Resorts,Ruder Finn Inc,France,1481,130384
Unifrance Film International,The French Film Office/Unifrance USA,France,2358,129783
Direction des Constructions Navales Services,American Business Development Group,France,5810,130397
National Council of Resistance of Iran,National Council of Resistance of-Iran - U.S. Representative Office,France,6171,130410
National Council of Resistance of Iran,"Rosemont Associates, LLC",France,6161,130410
Nouvelle-Caledonie Tourisme Point Sud ,Discover the World Marketing,France,5958,130552
The Gabonese Republic,Pearson & Associates,Gabon,6129,130455
Gabon Guaranteed Housing Funds ,"McMark, LLC ",Gabon,6141,130470
Government of Georgia,Patton Boggs LLP,Georgia,2165,129956
Government of Georgia,Orion Strategies LLC,Georgia,5437,129956
National Security Council of Georgia,Orion Strategies LLC,Georgia,5437,130241
Government of Georgia,"The Harbour Group, LLC",Georgia,5478,129956
National Security Council of Georgia,"Podesta Group, Inc.",Georgia,5926,130241
Government of Georgia,"HDMK, LLC",Georgia,5966,129956
Bidzina Ivanishvili ,Citizens for Democracy in Georgia,Georgia,6128,130462
National Security Council of Georgia,Fianna Strategies LLC ,Georgia,6132,130241
Administration of the President of Georgia,Fianna Strategies LLC ,Georgia,6132,130581
Bidzina Ivanishvili ,Downey McGrath Group Inc.,Georgia,6122,130462
Bidzina Ivanishvili ,Tedo Japaridze,Georgia,6131,130462
"BGR Gabara, Ltd. (for Bidzina Ivanishvili)","Office of Sam Patten, LLC",Georgia,6081,130519
Deutsche Bahn AG,White & Case LLP,Germany,2759,130564
German State of Rheinland-Pfalz,DLA Piper US LLP,Germany,3712,129840
Federation of German Industries / Bundesverband der Deutschen Industrie (BDI),Representative of German Industry and Trade,Germany,4274,129918
Association of German Chambers of Industry and Commerce Deutscher Industrie und Handelskammertag (DI,Representative of German Industry and Trade,Germany,4274,129919
Deutsche Telekom AG,"Deutsche Telecom, Inc.",Germany,4419,130227
"Bavarian Ministry for Economic Affairs, Infrastructure, Transport and Technology",Bavarian U.S. Offices for Economic Development LLC ,Germany,6015,129987
Deutsche Bank AG - DB US Holding Company,"STRATEGY XXI GROUP, LLC",Germany,6058,130611
"BGR Gabara, Ltd. (for the Free Democrats)","Office of Sam Patten, LLC",Germany,6081,130518
Government of the Republic of Ghana (Gh),"JWI, LLC dba Jefferson Waterman International",Ghana,4990,129967
National Patriotic Party,"R&R Partners, Inc",Ghana,6095,130579
Grenada,Caribbean Tourism Organization,Grenada,991,130534
Guadalupe st. Barts,Caribbean Tourism Organization,Guadalupe/ St. Barts,991,130535
Instituto Guatelmateco de Turismo INGUAT (Guatemalan Institute of Tourism,"Arnold & Porter, LLP",Guatemala,1750,130557
Government of Guatemala Ministry of Economy,"Sandler, Travis & Rosenberg, P.A",Guatemala,6115,130471
States of Guernsey,White & Case LLP,Guernsey,2759,129811
The Government ofthe Republic of Haiti,Caribbean Tourism Organization,Haiti,991,130453
The Government ofthe Republic of Haiti,Walter Corley,Haiti,6106,130453
Republic of Kenya,"Chlopak, Leonard, Schechter and Associates",Honduras,5774,130099
Republic of Kenya,"Moffett Group, LLC (formerly Private Public Solutions, LLC)",Honduras,5802,130099
Government of Honduras,Lanny J. Davis & Associates,Honduras,5985,130098
Hong Kong Tourism Board,Head Office In The United States Hong Kong Tourism,Hong Kong,2110,129760
Hong Kong Trade Development Council,Hong Kong Trade Development Council Inc.,Hong Kong,2181,129771
Hong Kong EconomicTrade Development Council,"Akin Gump Strauss Hauer & Feld, LLP",Hong Kong,3492,130565
Hong Kong Trade Development Council,Sidley Austin LLP,Hong Kong,3731,129771
Hong Kong Trade Development Council,Wexler & Walker Public Policy Associates,Hong Kong,5265,129771
Hong Kong Trade Development Council,"Podesta Group, Inc.",Hong Kong,5926,129771
Hong Kong Trade Development Council,Venable LLP,Hong Kong,5931,129771
Hong Kong Tourism Board,Coyne PR,Hong Kong,6177,129760
Serial Enterprises Limited,"42 West, LLC",Hong Kong,6156,130450
Tiangang Sun,Peter OToole LLC ,Hong Kong,6147,130463
Hungary Ministry of Public Administration and Justice,"Rasky Baerlein Strategic Communications, Inc.",Hungary,6100,130497
"The Prime Minister's Office, Government of Hungary",Prime Policy Group,Hungary,6192,130554
Invest in Iceland,CarbonZero lT LLC,Iceland,6094,130469
Govt. of India Ministry of Tourism,India Tourism,India,2329,129780
Government of India,India Tourism,India,2329,129921
Government of India,Barbour Griffith & Rogers LLC d/b/a BGR Holding,India,5430,129921
Council of Khalistan,Council of Khalistan,India,5597,129977
Govt. of India Ministry of Tourism,India Tourism,India,5873,129780
Government of India,"Podesta Group, Inc.",India,5926,129921
All India Rice Exports Associations (AIREA),"Sandler, Travis & Rosenberg, P.A",India,6115,130490
"Ministry of Foreign Affairs, Islamic Republic of Iran",Mark Edmond Clark,Iran,5755,130012
"Ambassador Mohammed Khazee, Permanent Representative, Mission of the Islamic Republic to the Un",Mark Edmond Clark,Iran,5755,130118
"Mr. Seyed Hossein Gholami, Third Counselor, Mission of the Islamic Republic of Iran to the UN",Mark Edmond Clark,Iran,5755,130119
"The Republic of Iraq, acting through the Ministry of Finance",Cleary Gottlieb Steen & Hamilton LLP,Iraq,508,129897
Kurdistan Regional Government (previously known as Kurdish Democratic Party),Barbour Griffith & Rogers LLC d/b/a BGR Holding,Iraq,5430,129953
Kurdistan Regional Government (previously known as Kurdish Democratic Party),Qorvis Communications LLC,Iraq,5483,129953
Kurdistan Regional Government (previously known as Kurdish Democratic Party),"Slocum & Boddie, P.C.",Iraq,5765,129953
Republic of Iraq,"Podesta Group, Inc.",Iraq,5926,130054
Tajdeed Electoral Slate,Mark Alsalih,Iraq,5974,130365
Tajdeed Electoral Slate,Cassidy & Associates,Iraq,6179,130365
HRH Prince Adan El-Hashemite,Thy Hashemite Sovereign Royal Family of Iraq Office in the USA,Iraq,6034,130448
Republic of Iraq,The Iraqi Center for Development,Iraq,6084,130054
Sinn Fein,Friends Of Sinn Fein,Ireland,5006,129920
Tourism Ireland Limited,Tourism Ireland Limited,Ireland,5594,130111
Labour Party (republic of Ireland),Supporters of the Irish Labour Party Inc.,Ireland,6033,130440
Tourism Ireland Limited,Squire Sanders Public Advocacy LLC,Ireland,6063,130111
State of Israel,"Arnold & Porter, LLP",Israel,1750,129748
The Executive of the World Zionist Organization,"World Zionist Organization_American Section, Inc.",Israel,2278,129778
World Zionist Organization,"World Zionist Organization_American Section, Inc.",Israel,2278,130403
State of Israel,Sidley Austin LLP,Israel,3731,129748
Plasan Sasa Ltd,Qorvis Communications LLC,Israel,5483,130116
Israel Ministry of Tourism,Geoffrey Weill Assoc.,Israel,5773,130018
Erel Margalit,Erel Margalit,Israel,6050,130515
World Likud,Rubenstein Public Relations,Israel,6049,130520
Jewish Agency for Israel,The Jewish Agency - American Section Inc.,Israel,6191,130589
ENIT - Agenzia Nazionale del Turismo (Italian Government Tourist Board),Italian Government Tourist Board,Italy,1884,129755
Order of Malta,Patton Boggs LLP,Italy,2165,129762
Sovereign Military Hospitaller Order of St. John of Jerusalem of Rhodes and of Malta,Patton Boggs LLP,Italy,2165,130616
Fiera Congressi Milano,Development Counsellors International,Italy,4777,130617
The Italian Government And/or Political Party Under Thereof,Amato Libero Berard,Italy,5853,130156
Italian Democratic Party,Giacomo Galletto,Italy,6151,130411
ENIT - Agenzia Nazionale del Turismo (Italian Government Tourist Board),Italian Government Tourist Board,Italy,568,129755
Jamaica Tourist Board,Caribbean Tourism Organization,Jamaica,991,129739
Jamaica Tourist Board,Ruder Finn Inc,Jamaica,1481,129739
Jamaica Tourist Board,Draftfcb,Jamaica,2415,129739
Japan National Tourism Organization,Japan National Tourist Organization,Japan,769,129782
"Daiichi Sankyo Company, Limited",Ruder Finn Inc,Japan,1481,130558
Japan External Trade Organization (JETRO),JETRO New York,Japan,1643,129744
Ishikawa Prefectural Government,JETRO New York,Japan,1643,129745
Kanagawa Prefectural Government,JETRO New York,Japan,1643,129746
Japan External Trade Organization (JETRO),JETRO San Francisco,Japan,1813,129744
Japan External Trade Organization (JETRO),JETRO Chicago,Japan,1850,129744
Government of Japan,Hogan & Hartson LLP (Hogan Lovells US LLP),Japan,2244,129776
Japan External Trade Organization (JETRO),"JETRO, Houston",Japan,2277,129744
"Foreign Government, Kobe Municipal Government",Kobe Trade Information Office,Japan,2438,129786
Japan Fisheries Association (JFA),Jay Donald Hastings,Japan,2867,129805
Global Guardian Trust,Garvey Schubert Barer A Partnership of Professiona,Japan,3047,130202
Manufactured Imports and Investment Promotion Organization (MIPRO),Manufactured Imports and Investment Promotion Organization (MIPRO),Japan,3196,129816
Tokyo Electric Power Company (TEPCO),"Hill & Knowlton, Inc.",Japan,3301,130613
Embassy Of Japan,"Akin Gump Strauss Hauer & Feld, LLP",Japan,3492,129936
Japan External Trade Organization (JETRO),Jetro Atlanta,Japan,4069,129744
"NHK Cosmomedia America, Inc.","Japan Network Group, Inc.",Japan,4490,130230
"Japan International Broadcasting, Inc.","Japan Network Group, Inc.",Japan,4490,130231
"Japan Automobile Manufacturers, Inc.",Maseng Communications,Japan,4660,129869
Embassy Of Japan,"Reed, T. Dean",Japan,5044,129936
JETRO New York,"KWR International, Inc.",Japan,5119,130294
Japan External Trade Organization (JETRO),"Global Policy Group, Inc.",Japan,5290,129744
Institute Of Cetacean Research,Butterfield Carter & Associates,Japan,5398,129942
Government of Japan,"Hecht, Spencer & Associates, Inc.",Japan,5451,129776
Fukuoka Prefectural Government,"Fukuoka Center for Overseas Commerce in America (The Government of Fukuoka Prefecture, Silicon Vall)",Japan,5591,129975
"Osaka University, Japan","Osaka University, San Francisco Office",Japan,5631,129982
Government of Japan,"The MITA Group, Inc.",Japan,5741,129776
Japan External Trade Organization (JETRO),Quinn Gillespie & Associates LLC,Japan,5753,129744
Social Communication Secretariat of the Office of the President of the Republic of Brazil,Fleishman-Hillard Inc,Japan,5801,130089
JETRO New York,"Park Strategies, LLC",Japan,5908,130294
Embassy Of Japan,"Podesta Group, Inc.",Japan,5926,129936
The City of Osaka Municipal Government,"City of Osaka, Chicago Office",Japan,5979,130369
Social Communication Secretariat of the Office of the President of the Republic of Brazil,"CDN International, Inc.",Japan,5992,130089
JETRO New York,"Washington Research and Analysis, LLC",Japan,6013,130294
Embassy Of Japan,"DCI Group, LLC.",Japan,6140,129936
Embassy Of Japan,The Friedlander Group,Japan,6097,129936
Embassy Of Japan,C. Landon Parvin,Japan,6194,129936
Kingdom of Jordan,White & Case LLP,Jordan,2759,129796
Arab Bank PLC,White & Case LLP,Jordan,2759,130563
"Royal Hashemite Court, Hashemite Kingdom Of Jordan",Vivien Ravdin,Jordan,5630,130101
Kingdom of Jordan,Monitor Company Group,Jordan,6037,129796
Embassy of the Hashemite Kingdom of Jordan,"W2 Group, Inc",Jordan,6055,130437
"BGR Gabara, LLP (for the Embassy of Kazakhstan, London, UK)",Barbour Griffith & Rogers LLC d/b/a BGR Holding,Kazakhstan,5430,130364
Embassy of the Republic of Kazakhstan in Washington D.C.,"Brown Legal Consulting, LLC",Kazakhstan,6079,129864
Embassy of the Republic of Kazakhstan in Washington D.C.,Portland PR Inc.,Kazakhstan,6064,129864
Embassy of the Republic of Korea to the United States,Ruder Finn Inc,Korea,1481,129904
Korea Tourism Organization,Korea National Tourism Organization Los Angles,Korea,2544,129792
Korea Tourism Organization,Korea National Tourism Organization,Korea,2614,129792
Korea Institute for International Economic Policy (KIEP),Korea Economic Institute of America,Korea,3327,129826
Embassy of the Republic of Korea to the United States,"Akin Gump Strauss Hauer & Feld, LLP",Korea,3492,129904
Embassy of the Republic of Korea to the United States,"JWI, LLC dba Jefferson Waterman International",Korea,4990,129904
People's Daily Overseas Edition,"Hal Tian Development USA, Inc.",Korea,5143,129900
Embassy of the Republic of Korea to the United States,Covington & Burling LLP,Korea,5852,129904
Korea International Trade Association,"Thomas Capitol Partners, Inc.",Korea,5982,129795
Consulate General of Republic of Korea in New York,"Parter International, Inc",Korea,6142,130466
