id,name,name-new,address,city,state,country,discription,Column,Column2,entered
2518,Agencia Brasileira de Desenvolvimento Industrial,Agencia Brasileira de Desenvolvimento Industrial,"ABDI/SBN, Quadra 1, Bloco B, Edificio CNC, 14 Andar",Brasilia-DF,,Brazil,"For the Social Communication Secretariat of the Office of the President of the Republic of Brazil (""Secretariat""), CDN International has worked on the coordination of a Public Relations contract in partnership with Fleishman Hillard. CDN's role is to act as a consultant and help to coordinate different activities such as monthly teleconferences (interviews) with Brazilian Ministers and journalists and analysts; trips for US journalists to visit Brazil (familiarization trips), interviews with journalists, participation of Brazilian officials in events and conferences. For Agencia Brasileira de Desenvolvimento Industrial (""ABDI""), CDN International was responsible for providing Media Relations in connection with the II Innovation Summit, held at the Georgetown University in September 2010. CDN Inc was in charge of reaching out to the Brazilian corresoindents based in Washington DC and New York to provide information about the event and invite the journalists to cover it. CDN was also responsible for providing photograph coverage of the event.",1592,554,TRUE
2446,Agencija Za Konsalting Sigma Team Plus,Agencija Za Konsalting Sigma Team Plus,Bele Gartoka 2,Beograd-Borca,,Republic of Serbia,"The registrant provides the foreign principal advice on Serbia-U.S. political and economic relations, strategies for improving trade and commercial relations between Serbia and the United States, and strategies for building relationships with U.S. government and opinion leaders. The registrant prepares officials of the foreign principal or the Socialist Party of Serbia for meetings with U.S. officials, media, and other organizations and decision makers.",1534,553,TRUE
74,Air France,Air France,,,,France,"During the six months, Ruder Finn was engaged in the following activities on behalf of Air France: 1. Media Relations 2. Special Events/Gateway Launches 3. Press Trips 4. Crisis Communications 5. General Counsel",58,5,TRUE
80,Air France,Air France,,,,France,"During the six months, Ruder Finn was engaged in the following activities on behalf of Air France: 1. Media Relations 2. Special Events/Gateway Launches 3. Press Trips 4. Crisis Communications 5. General Counsel",59,5,TRUE
2528,Air France,Air France,,,,France,1. Media Relations 2. Special Events/Gateway Launches 3. Press Trips 4. Crisis Communications 5. General Counsel,1599,5,TRUE
2535,Air France,Air France,,,,France,1. Media Relations 2. Special Events/Gateway Launches 3. Press Trips 4. Crisis Communications 5. General Counsel,1600,5,TRUE
1474,Alberta Enterprise Group,Alberta Enterprise Group,,,,Canada,"GWEST assisted the Alberta Enterprise Group (AEG) by providing planning, logistical and operational support for the Alberta Economic Forum held May 4-5, 2009 in Geneva, Switzerland at the Grand Hotel Kempinski. AEG, along with Geneva-based Academy & Finance SA were the primary organizers of this policy and investment forum. GWEST suggested speakers, topics and companies that were invited to participate, sponsor and attend the event. GWEST officials Paul Michael Wihbey and Frederick Cedoz attended the event.",934,0,TRUE
1857,Alliance for a Green Revolution in Africa (AGRA),Alliance for a Green Revolution in Africa (AGRA),"Eden Square, Bloc 1 Westlands",Nairobi,,Kenya,,1147,524,TRUE
1864,Alliance for a Green Revolution in Africa (AGRA),Alliance for a Green Revolution in Africa (AGRA),,,,Kenya,,1148,,TRUE
109,Alpine Tourist Commission,Alpine Tourist Commission,,,,Switzerland,"Insert placement of advertisement in Consumer travel magazines (National Geographic Traveler, Sherman's Travel). Distribution of monthly e-newsletter to consumers and general public. Destination targeted banners. Destination targeted banner on NationalGeographic.com. Destination targeted banner on AOL Travel. Destination targeted banner on Yahoo.com. Advertisement in National Geographic Traveler. Advertisement in Budget Travel Magazine. Advertisement in Sierra Club Magazine October 2007 issue. Product presentation and participation at the Adventure Travel Symposium in Whisler, Canada, in November 2007 in cooperation with partners from the Alpine countries.",79,6,TRUE
110,Alpine Tourist Commission,Alpine Tourist Commission,,,,Switzerland,"- Insert placement of advertisement in Consumer travel magazines (National Geographic Traveler, Sherman's Travel magazine, Preservations magazine). - Distribution of monthly e-newsletter to consumers and general public. - Destination targeted banner on NationalGeographic.com. - Destination targeted banner on Eyeblaster Network. - Destination targeted banner on Yahoo.com. - Destination targeted banners on Mountain Getaways. - Advertorial (full page) in Sherman's Travel magazine. - E-mail blast ""OntheSnow.com"" on September 4,2008. - Product presentation and participation at the Mountain Travel Symposium in Vail, Colorado, in April 2008 in cooperation with partners from the Alpine countries.",80,6,TRUE
2572,Alpine Tourist Commission,Alpine Tourist Commission,120 West 45th Street,New York,NY,Switzerland,"Print-Insert in Visit Europe Magazine, distributed October 18,2009 with New York Times, The Washington Post and The Boston Globe.  Online-Destination targeted banner and text links on TripAdvisor.com. Other- Product presentation and participation at the USTOA in Banff, Canada. Product presentation and participation at the ATTA conference in Quebec, Canada.",1620,6,TRUE
2573,Alpine Tourist Commission,Alpine Tourist Commission,120 West 45th Street,New York,NY,Switzerland,"Print - 2 4-page inserts in the April and May issue of Travel + Leisure magazine - National Ski Club Newsletter Mar/Apr and May/June 2010 Online - Banner advertisement on Travelandleisure.com - Microsite reflecting the content of the print insert Other - MTS (Mountain Travel Symposium) in Banff, AB on April 11 - 17, 2010 - Travel Industry Dinner in Los Angeles, June 21, 2010 - Sponsorship ATTA 2010",1621,6,TRUE
2001,"Ambassador Mohammed Khazee, Permanent Representative, Mission of the Islamic Republic of Iran to the","Ambassador Mohammed Khazee, Permanent Representative, Mission of the Islamic Republic of Iran to the",,,,Iran,provided monthly oral reports on developments in US-Iran relations in support of the formulation of positive policy approaches.,1242,387,TRUE
2004,"Ambassador Mohammed Khazee, Permanent Representative, Mission of the Islamic Republic of Iran to the","Ambassador Mohammed Khazee, Permanent Representative, Mission of the Islamic Republic of Iran to the",,,,Iran,provided occasional oral reports on developments in US-Iran relations in support of the formulation of positive policy approaches.,1243,387,TRUE
1384,"Ambassador Mohammed Khazee, Permanent Representative, Mission of the Islamic Republic to the Un","Ambassador Mohammed Khazee, Permanent Representative, Mission of the Islamic Republic to the Un",,,,Iran,provided semi-monthly oral reports of US-Iran relations in support of the formulation of positive policy approaches,870,387,TRUE
215,American Palm Oil Council,American Palm Oil Council,,,,Malaysia,The Registrant has continued to advise the American Palm Oil Council in connection with potential state and federal food labeling and advertising requirements and developments in related proceedings of the Food and Drug Administration and other agencies. The registrant also advises the American Palm Oil Council in connection with potential state and federal requirements and developments with respect to the use of palm oil in the production of biofuels.,141,7,TRUE
753,American Palm Oil Council,American Palm Oil Council,,,,Malaysia,Submitted a letter-to-the editor to the Wall Street Journal (published on 1/25); distributed a press release to the media announcing the launch of the Malaysian Palm Oil Wildlife Conservation Fund.,482,7,TRUE
868,American Palm Oil Council,American Palm Oil Council,,,,Malaysia,"Prism Public Affairs provided strategic communications counsel and public relations support to the American Palm Oil Council. Activities included: submitted letters to Fortune Magazine, the Los Angeles Times and Orangutan Foundation International; distributed a press release to the media announcing the first Malaysian palm oil plantation to receive RSPO certification and distributed a press release to the media applauding the South Florida Regional Transportation Authority.",562,7,TRUE
1075,American Palm Oil Council,American Palm Oil Council,,,,Malaysia,The Registrant has continued to advise the American Palm Oil Council in connection with potential state and federal food labeling and advertising requirements and developments in related proceedings of the Food and Drug Administration and other agencies. The registrant also advises the American Palm Oil Council in connection with potential state and federal requirements and developments with respect to the use of palm oil in the production of biofuels.,682,7,TRUE
1438,American Palm Oil Council,American Palm Oil Council,,,,Malaysia,"Prism Public Affairs provided strategic communications counsel and public relations support to the American Palm Oil Council. Activities included the following: submitted letters to Chico News Review, Honolulu Star Bulletin, St. Louis Post Dispatch, Wall Street Journal, and USA Today; sent Global Oils & Fats Magazine to the following reporters; Matthew Yancey of The Associated Press, Marty Rosenberg of Energybiz Magazine, Geoffrey Mohan of Los Angeles Times, Kristen Go of San Francisco Chronicle, John Dodge of The Olympian, Lean Reed of The Oregonian, Marc Gunther of Fortune/CNNMoney.com and Sue Retka Schill of Biomass Magazine.",906,7,TRUE
1496,American Palm Oil Council,American Palm Oil Council,,,,Malaysia,Prism Public Affairs provided strategic communications counsel and public relations support to the American Palm Oil Council. Activities included the following: Submitted a letter to the New York Times.,944,7,TRUE
1761,American Palm Oil Council,American Palm Oil Council,,,,Malaysia,"The Registrant has continued to advise the American Palm Oil Council in connection with potential state and federal food labeling and advertising requirements, and developments with respect to nutritional issues. The registrant also advises the American Palm Oil Council in connection with potential state and federal requirements and developments with respect to the use of palm oil in the production of biofuels.",1111,7,TRUE
1763,American Palm Oil Council,American Palm Oil Council,,,,Malaysia,"The Registrant has continued to advise the American Palm Oil Council in connection with potential state and federal food labeling and advertising requirements, and developments with respect to nutritional issues. The registrant also advises the American Palm Oil Council in connection with potential state and federal requirements and developments with respect to the use of palm oil in the production of biofuels.",1112,7,TRUE
2091,American Palm Oil Council,American Palm Oil Council,,,,Malaysia,,1294,7,TRUE
355,AmLib United Minerals,AmLib United Minerals,,,,Liberia,"To discuss legislation and related issues concerning the security and trade interests of the Foreign Principal. The firm provided advice and counsel to the Foreign Principal with reference to the political activities. Reporting orally and in writing on all legislative and Administration actions of concern or interest to the Foreign Principal, as deemed appropriate. Drafting substantive analyses, as needed, or requested, to promote the objectives of the Foreign Principal. As requested, contacting in person, by phone, by fax, or by letter, representatives of the private sector to discuss the Foreign Principal's objectives in the United States.",220,8,TRUE
358,AmLib United Minerals,AmLib United Minerals,,,,Liberia,"To discuss legislation and related issues concerning the security and trade interests of the Foreign Principal. The firm provided advice and counsel to the Foreign Principal with reference to the political activities. Reporting orally and in writing on all legislative and Administration actions of concern or interest to the Foreign Principal, as deemed appropriate. Drafting substantive analyses, as needed, or requested, to promote the objectives of the Foreign Principal. As requested, contacting in person, by phone, by fax, or by letter, representatives of the private sector to discuss the Foreign Principal's objectives in the United States.",221,8,TRUE
1040,AmLib United Minerals,AmLib United Minerals,,,,Liberia,The firm provided advice and counsel to the Foreign Principal with referenced to te political activities.,667,8,TRUE
1387,AmLib United Minerals,AmLib United Minerals,,,,Liberia,"The firm contacted, in person, by telephone, or by e-mail, members of the U.S. Government, as noted further in Attachment B, to discuss legislation and related issues concerning the security and trade interests of the Foreign Principal.",872,8,TRUE
2174,AmLib United Minerals,AmLib United Minerals,,,,Liberia,,1349,8,TRUE
1543,Antonio Valladolid,Antonio Valladolid,,,,?,"Comision de Populacion, Fronteras y asuntos Migratorios de la Camara de diputados de Mexico.",973,388,TRUE
1306,Arcaya And Associates,Arcaya And Associates,,,,Venezuela,The registrant set up meetings with members and staff in order to maintain contacts in DC and keep them informed on events in Venezuela.,831,389,TRUE
990,Aruba Tourism Authority,Aruba Tourism Authority,L.G. Smith Blvd. 172 P.O. Box 1019,Oranjestad,,Aruba,"M. Silver Associates Inc. provides public relations services. Our work entails ongoing media relations including press trips, preparation and distribution of press information, etc. The press trips involve verbal and written invitations to travel writers and editors and personally escorting the journalists to the principality.",640,110,TRUE
1413,Aruba Tourism Authority,Aruba Tourism Authority,L.G. Smith Blvd. 172 P.O. Box 1019,Oranjestad,,Aruba,,888,390,TRUE
1778,Aruba Tourism Authority,Aruba Tourism Authority,,,,Aruba,,1117,390,TRUE
1782,Aruba Tourism Authority,Aruba Tourism Authority,,,,Aruba,"Aruba, the island of 90,000 friends you haven't met yet, is truly an extraordinary experience. Located only two-and-a-half hours by air from Miami and four hours from New York City, the island is ideally situated in the southern fringes of the hurricane belt and boasts year-round cooling trade winds and perfect weather with average annual temperatures of 82 Fahrenheit and less than 20 inches of rainfall per year. With pristine white sandy beaches Aruba serves up over 30 luxurious hotels/resorts, championship golf courses, sumptuous spas, vibrant casinos, extraordinary international and local cuisine, exclusive shops and boutiques, exciting land and water activities, art galleries and museums, world-famous music festivals and events, clubs and cafes with live music and more. The backdrop of a tropical destination with warm, hospitable people is the perfect place for the first-time guests and loyal visitors who return to Aruba at a 60% repear rate, more than any other Caribbean destination.",1118,390,TRUE
1792,Association of Dutch Insurer (Verbond Van verzekeraars),Association of Dutch Insurers (Verbond van Verzekeraars),,,,Netherlands,Reported on and analyzed news coverage.,1122,9,TRUE
224,Association of Dutch Insurers (Verbond van Verzekeraars),Association of Dutch Insurers (Verbond van Verzekeraars),,,,Netherlands,Provided advice and counsel principally on legislation concerning retroactive policy claims and met with congressional representatives regarding the same.,148,9,TRUE
797,Association of Dutch Insurers (Verbond van Verzekeraars),Association of Dutch Insurers (Verbond van Verzekeraars),,,,Netherlands,Provided advice and counsel principally on legislation concerning retroactive policy claims and met with congressional representatives regarding the same.,513,9,TRUE
1312,Association of Dutch Insurers (Verbond Van Verzekeraars),Association of Dutch Insurers (Verbond van Verzekeraars),,,,Netherlands,Provided advice and counsel principally on legislation concerning retroactive policy claims and meet with congressional representatives regarding the same.,835,9,TRUE
1789,Association of Dutch Insurers (Verbond van verzekeraars),Association of Dutch Insurers (Verbond van Verzekeraars),,,,Netherlands,Reported on and analyzed news coverage.,1121,9,TRUE
1887,Association of German Chambers of Industry & Commerce - Deutscher Industrie und Handelskammertag,Association of German Chambers of Industry & Commerce - Deutscher Industrie und Handelskammertag,,,,Germany,"RGIT prepares and distributes information materials including a weekly German-language electronic publication on business, economic, legal, legislative, political and regulatory developments entitles Washington Info. Registrant periodically arranges for informational meetings between senior representatives of the BDI and DIHK and German industry associations with counterpart organizations as well as from time to time arranging meetings between representatives of the BDI and DIHK and legislators and executive-branch staff.",1161,10,FALSE
1044,Association of German Chambers of Industry & Commerce/Deutscher Industrie und Handelskammertag (DIHK,Association of German Chambers of Industry & Commerce/Deutscher Industrie und Handelskammertag (DIHK,,,,Germany,,669,10,TRUE
981,Association of German Chambers of Industry and Commerce (Deutscher Industrie and Handelskammertag -,Association of German Chambers of Industry and Commerce (Deutscher Industrie and Handelskammertag -,,,,Germany,"RGIT publishes newsletters and informational analyses of current economic and political events electronically. These publications appear in either German or English, and in some cases in both languages. The electronic publications are available for viewing and downloading from RGIT's website, www.rgit-usa.com, and in certain cases are made available to a list of subscribers via e-mail. The publications clearly refer to RGIT as the source, and insofar as possible, make use of a standard FARA-type disclaimer.",633,10,TRUE
1885,Association of German Chambers of Industry and Commerce (Deutscher Industrie und Handelskammertag /,Association of German Chambers of Industry and Commerce (Deutscher Industrie und Handelskammertag /,,,,Germany,"RGIT cooperates with the Gereman American chambers of Commerce in New York, Atlanta, San Francisco and Chicago. The fostering of bilateral trade relations and investment and the provision of consulting services to companies with business interests in the United States are among the key tasks of the chambers.",1160,10,TRUE
445,Association of German Chambers of Industry and Commerce (Deutscher Industrie-und Handelskammertag -D,Association of German Chambers of Industry and Commerce (Deutscher Industrie-und Handelskammertag -D,,,,Germany,"RGIT publishes newsletters and informational analyses of current economic and political events electronically. These publications appear in either German or English, and in some cases in both languages. The electronic publications are available for viewing and downloading from RGIT's website, www.rgit-usa.com, and in some cases are made available to a list of subscribers via e-mail. The publications clearly refer to RGIT as the source, and insofar as possible, make use of a standard FARA-type disclaimer.",261,10,TRUE
1883,Association of German Chambers of Industry and Commerce / Deutscher Industrie und Handelskammertag (,Association of German Chambers of Industry and Commerce / Deutscher Industrie und Handelskammertag (,,,,Germany,"RGIT prepares various analyses and reports on government policy and legislation for the benefit of RGIT's principals and their member companies in Germany, as well as the U.S. affiliates of such member companies. In addition to these reports, RGIT electronically publishes and disseminates a weekly newsletter, ""Washington News."" In-dept reports on matters ranging from analyses of trade policy to memoranda on federal budgetary initiatives are also disseminated via e-mail. The majority of RGIT's publications are written in German, although some publications, including a fact sheet on German investment in the United States, appear in English. RGIT's website is frequently updated to reflect the newest informational material produced-in-house.",1159,10,TRUE
443,Association of German Chambers of Industry and Commerce Deutscher Industrie und Handelskammertag (DI,Association of German Chambers of Industry and Commerce Deutscher Industrie und Handelskammertag (DI,,,,Germany,"Registrant regularly provides the Federation of German Industriesd (Bundesverband der Deutschen Industrie / BDI) and the Association of German Chambers of Industry and Commerce (Deutscher Industrie und Handelskammertag / DIHK) with written analyses and reports on current developments in United States trade policy, as well as with general updates on legislative developments of interest to German companies operating on a transatlantic basis. In addition, RGIT reports to member companies and industry-specific trade associations in Germany on relevant matters. RGIT produces a weekly German-language newsletter, which is distributed by e-mail to a primarily German audience. Other publications include an English-language summary of legislative and regulatory developments, which is intended to inform both the business community in Germany, as well as interested parties in the United States.",260,10,TRUE
2287,Atiku Abubakar through Weidenfeld Law Group,Atiku Abubakar through Weidenfeld Law Group,,,,Nigeria,,1428,11,TRUE
229,Attiku Abubakar (through the Weidenfeld Law Firm),Attiku Abubakar (through the Weidenfeld Law Firm),,,,Nigeria,No activity,148,11,TRUE
353,Austrian Tourist Office in Vienna,Austrian Tourist Office in Vienna,,,,Austria,"Marketing, public relations & distribution of brochers to promote travel to Austria from USA",218,12,TRUE
1941,"Austrian Tourist Office, Inc","Austrian Tourist Office, Inc",120 West 45th Street 9th Floor,New York,NY,Austria,Marketing Public Relations & Distribution of Brochers to Promote Travel in Austria from USA,1196,693,TRUE
1942,"Austrian Tourist Office, Inc","Austrian Tourist Office, Inc",120 West 45th Street 9th Floor,New York,NY,Austria,Marketing Public Relations & Distribution of Brochers to Promote Travel in Austria from USA,1197,693,TRUE
413,Avianca S.A.,Avianca S.A.,,,,Colombia,General legal advice and services; no registrable activities were performed during this reporting period.,245,13,TRUE
804,Avianca S.A.,Avianca S.A.,,,,Colombia,General legal advice and services; no registrable activities were performed during this reporting period.,516,13,TRUE
1341,Avianca S.A.,Avianca S.A.,,,,Colombia,General legal advice and services; no registrable activities were performed during this reporting period.,846,13,TRUE
1364,Avianca S.A.,Avianca S.A.,,,,Colombia,General legal advice and services; no registrable activities were performed during this reporting period.,861,13,TRUE
1840,AVIANCA S.A.,Avianca S.A.,,,,Colombia,General legal advice and services; no registrable activities were performed during this reporting period.,1141,13,TRUE
1843,AVIANCA S.A.,Avianca S.A.,,,,Colombia,General legal advice and services; no registrable activities were performed during this reporting period.,1142,13,TRUE
1593,Azerbaijan Diplomatic Academy,Azerbaijan Diplomatic Academy,,,,Azerbaijan,,1006,392,TRUE
2095,Azerbaijan Embassy,Azerbaijan Embassy,,,,Azerbaijan,Communications consulting,1298,583,TRUE
1697,Bahamas Ministry of Tourism,Bahamas Ministry of Tourism,,,,Bahamas,"Promotional Activities, Marketing, Public Relations, Advertising",1062,600,TRUE
1353,Bahrain Economic Development Board,Bahrain Economic Development Board,,,,Netherlands Antilles,,852,16,TRUE
1861,Bahrain Economic Development Board,Bahrain Economic Development Board,,,,Bahrain,,1147,393,TRUE
1863,Bahrain Economic Development Board,Bahrain Economic Development Board,,,,Bahrain,,1148,393,TRUE
2295,Bahrain thru Bell Pottinger,Bahrain thru Bell Pottinger,,,,Bahrain,"Registrant monitored daily media coverage of issues of importance and relevance to The Kingdom of Bahrain. Registrant facilitated and coordinated media and press activity for Bahraini officials. Registrant drafted and/or distributed, by email press releases, fact sheets, oped pieces, speeches and news articles, in order to promote Bahrain, its commitment to the war against terrorism, peace in the Middle East, and other issues pertinent to the Kingdom. Registrant met with Maria Sisk, desk officer for Bahrain at the U.S. State Department, and discussed matters of Bahrain-U.S. importance.",1429,880,TRUE
455,Bangladesh Export Processing Zone Authority,Bangladesh Export Processing Zone Authority,,,,Bangladesh,"PWSP engaged in ""political activities"" on behalf of BNP on certain occasions, as discussed.",268,14,TRUE
744,Bangladesh Export Processing Zone Authority,Bangladesh Export Processing Zone Authority,,,,Bangladesh,"The activities for the Bangladesh Export Processing Zone Authority (BEPZA) on issues related to a worker rights petition filed with the Office of the U.S. Trade Representative by the AFL-CIO seeking the removal of Generalized System of Trade Preferences for Bangladesh. Among the activities during this period were the drafting of testimony for an inter-agency hearing on the petition that occurred at USTR on October 4, and the drafting of a post-hearing brief and responses to questions that was filed with USTR on October 26, 2008.",479,14,TRUE
745,Bangladesh Export Processing Zone Authority,Bangladesh Export Processing Zone Authority,,,,Bangladesh,Related to a worker rights petition filed with the Office of the U.S. Trade Representative by the AFL-CIO seeking the removal of Generalized System of Trade Preferences for Bangladesh.,480,14,TRUE
456,Bangladesh National Party,Bangladesh National Party,,,,Bangladesh,"During the reporting period, Pillsbury provided no services to BNP. Pillsbury provided no services to BNP. Pillsbury ended its connection with BNP effective February 1, 2008. Pillsbury neither charged nor received any compensation for services rendered in connection with ""political activities"", services not associated with ""political activities"", or for general expenses incurred during the period February 1, 2008 to July 31, 2008. Pillsbury ended its connection with BNP effective 1, 2008.",269,15,TRUE
634,Bangladesh National Party,Bangladesh National Party,,,,Bangladesh,"Carmen Group will prepare a strategic plan for Client to compete in the U. S. federal sales marketplace. This strategic plan will provide a strategy to respond to GSA's SmartPay 2 Request for Proposals and will identify certain other public sector markets for Client's credit card services. The strategic plan will be prepared and delivered to Client on or before October 31, 2006. Included in this phase of the project will be appropriate review of Client's submission to the RFP and initial outreach to market Client's credit card services within the GSA. Beginning on November 1, 2006 in addition to continuing to review and consult with Client on its submissions on the SmartPay 2 RFP, and marketing Client's credit card services within the GSA until the lockdown period for the RFP begins, Carmen Group will market Client's credit card services to federal, state and local agencies that are outside the scope of the SmartPay 2 program, as well as, private sector companies. Carmen Group agress to not represent any other credit card issuer in the Smar Pay 2 procurement or to market another issuer's card services during the Term of this Agreement as defined in Section 2.01 herein. Once Clien is invited to participate in the SmartPay 2 program, Carmen Group shall broaden its marketing efforts for Client's credit card services to Federal Government agencies that are eligible to participate in the SmartPay 2 program.",389,15,TRUE
921,Bank of the Netherlands Antilles,Bank of the Netherlands Antilles,,,,Netherlands Antilles,,582,16,TRUE
908,Bank of the Netherlands Antilles,Bank of the Netherlands Antilles,Simon Bolivar Plein 1 Williamstad,Curacao,,Netherlands Antilles,"Additionally, Jones, Walker, provides assistance to The Livingston Group in the representation of the Bank of the Netherlands Antilles before the U.S. Congress and Executive branch agencies.",579,16,TRUE
911,Bank of the Netherlands Antilles,Bank of the Netherlands Antilles,,,,Netherlands Antilles,Jones Walker continues to provide assistance to the Livingston Group in the representation of the Bank of the Netherlands Antilles before the U.S. Congress and Executive branch agencies.,580,16,TRUE
912,Bank of the Netherlands Antilles,Bank of the Netherlands Antilles,Simon Bolivar Plein 1,Willemstad Curacao,,Netherlands Antilles,,581,16,TRUE
939,Bank of the Netherlands Antilles,Bank of the Netherlands Antilles,Simon Bolivar Plein 1,Willemstad Curacao,,Netherlands Antilles,,591,16,TRUE
948,Bank of the Netherlands Antilles,Bank of the Netherlands Antilles,,,,Netherlands Antilles,,592,16,TRUE
1126,Bank Of The Netherlands Antilles,Bank of the Netherlands Antilles,,,,Netherlands Antilles,,714,16,TRUE
1167,Bank of the Netherlands Antilles,Bank of the Netherlands Antilles,,,,Netherlands Antilles,,739,16,TRUE
1259,Bank of the Netherlands Antilles,Bank of the Netherlands Antilles,,,,Netherlands Antilles,Jones Walker continues to work with The Livingston Group in the representation of the Bank of the Netherlands Antilles before the U.S. Congress and Executive branch agencies.,801,16,TRUE
1278,Bank of the Netherlands Antilles,Bank of the Netherlands Antilles,,,,Netherlands Antilles,Jones Walker continues to work with The Livingston Group in the representation of the Bank of the Netherlands Antilles before the U.S. Congress and Executive branch agencies. Jones Walker continues to provide advice and other assistance to The Livingston Group on representation matters.,811,16,TRUE
2239,Bank of the Netherlands Antilles,Bank of the Netherlands Antilles,,,,Netherlands Antilles,Jones Walker continues to work with The Livingston Group in the representation of the Bank of the Netherlands Antilles before the U.S. Congress and Executive branch agencies.,1401,16,TRUE
2242,Bank of the Netherlands Antilles,Bank of the Netherlands Antilles,,,,Netherlands Antilles,,1403,16,TRUE
786,Barbados Investment & Development Corporation,Barbados Investment & Development Corporation,,,,Barbados,Continues to disseminate information on investment opportunities in Barbados,506,17,TRUE
787,Barbados Tourism Authority,Barbados Tourism Authority,,,,Barbados,Promotion of Barbados as a Tourist destination,506,18,TRUE
741,Bauchi State Government,Bauchi State Government,,,,Nigeria,"Hudson consulting helped coordinate a U.S. Embassy Nigeria visit to Bauchi State Nigeria April 17-22, 2008, which included US Ambassador Robin Sanders. The visit included a meeting with the State Governor to discuss development and democracy. Hudson consulting met with USAID Mission Director Sharon Gromer on April 24, 2008 to discuss development projects. On June 23, 2008, Bauchi State Governor met with officials at the State Department including Deputy Assistant Secretary Todd Moss, to discuss developments in Nigeria. State hosted a business roundtable discussion for interested U.S. business. Bauchi State Gov. also met with US African Development Foundation President Lloyd Pierson to discuss a potential agriculture project.",477,19,TRUE
